NAME	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L3 % OVER	LAST GAMES ➡️	LAST YR % OVER	OVER	UNDER
Joe Mixon	-435	H	CIN	BAL	26th	rec	3.5	4.3	4.0 - 5.0	4.38 - 4.17	57%	100%	5,7,5,2,3,4,7,3,4,3,4,3,3,7	44%	-125	-105
Joe Mixon	-435	H	CIN	BAL	3rd	rush_yds	54.5	58.1	57.0 - 61.0	42.12 - 79.5	57%	33%	27,65,21,96,20,153,27,58,45,78,61,24,57,82	75%	-110	-120
Joe Mixon	-435	H	CIN	BAL	3rd	rush_att	14.5	15.0	14.2 - 17.0	11.88 - 19.17	43%	33%	11,16,11,14,7,22,8,17,8,14,24,12,19,27	69%	-110	-120
Jordan Hicks	-165	H	MIN	NYG	21st	tackles_combined	6.5	7.6	8.23 - 5.5	6.25 - 8.78	65%	33%	2,4,10,7,8,6,8,7,3,12,6,11,7,7,14,3,14	47%	-130	'+100
Jordan Poyer	-850	H	BUF	MIA	1st	tackles_combined	5.5	5.2	5.25 - 0	4.67 - 5.83	33%	33%	9,1,5,7,5,10,5,5,4,6,4,2	50%	'+120	-160
Josh Allen	-850	H	BUF	MIA	26th	pass_td	1.5	2.2	2.46 - 1.0	1.88 - 2.5	69%	100%	3,2,4,1,2,2,1,1,0,2,3,4,1,2,4,3	76%	-175	'+130
Josh Allen	-850	H	BUF	MIA	29th	pass_int	0.5	0.9	0.77 - 1.33	1.0 - 0.75	56%	67%	1,2,0,0,0,1,0,2,2,2,0,1,1,0,0,2	59%	'+110	-145
Josh Allen	-850	H	BUF	MIA	6th	rush_att	8.5	7.8	7.77 - 7.67	9.25 - 6.25	50%	67%	9,6,10,10,8,10,3,6,9,6,12,5,11,8,1,10	35%	-130	'+100
Josh Allen	-850	H	BUF	MIA	31st	pass_att	33.5	35.4	32.85 - 46.67	38.12 - 32.75	50%	33%	31,26,40,27,33,42,27,43,34,25,40,31,36,63,38,31	59%	-130	'+100
Josh Allen	-850	H	BUF	MIA	27th	pass_yds	258.5	267.7	257.54 - 311.67	261.5 - 273.88	44%	33%	254,172,304,147,223,253,197,330,205,218,329,424,213,400,317,297	53%	-120	-110
Josh Allen	-850	H	BUF	MIA	31st	pass_cmp	22.5	22.4	20.77 - 29.67	24.12 - 20.75	44%	33%	19,15,25,16,22,24,18,29,18,13,27,20,19,42,26,26	53%	-120	-110
Josh Allen	-850	H	BUF	MIA	6th	rush_yds	49.5	47.6	41.92 - 72.33	53.75 - 41.5	38%	33%	16,41,77,47,20,78,7,84,86,49,32,42,70,47,10,56	41%	-120	-110
Justin Jefferson	-165	H	MIN	NYG	14th	rec_yds	92.5	106.4	114.62 - 79.75	110.75 - 102.56	65%	33%	38,15,133,123,223,45,139,33,193,115,98,107,154,147,14,48,184	41%	-130	'+100
Justin Jefferson	-165	H	MIN	NYG	12th	rec	6.5	7.5	8.23 - 5.25	6.88 - 8.11	59%	33%	4,1,12,12,11,7,9,3,10,7,6,6,12,10,3,6,9	47%	-160	'+120
Kader Kohou	'+600	A	MIA	BUF	7th	tackles_combined	4.5	4.8	4.38 - 5.29	5.33 - 4.0	53%	33%	2,2,5,7,8,5,4,4,8,6,4,6,6,2,3	0%	'+110	-145
Kayvon Thibodeaux	'+140	A	NYG	MIN		sacks	0.75	0.3	0.5 - 0.17	0.17 - 0.43	31%	67%	1,0,1,1,0,0,0,0,0,1,0,0,0	0%	'+140	-185
Kirk Cousins	-165	H	MIN	NYG	31st	rush_yds	1.5	5.7	3.08 - 14.25	7.75 - 3.89	41%	67%	0,37,2,0,0,9,-1,0,12,-2,22,-5,4,0,-1,20,0	56%	-120	-110
Kirk Cousins	-165	H	MIN	NYG	17th	pass_att	36.5	37.8	38.62 - 35.25	37.0 - 38.56	59%	33%	20,31,48,54,41,35,37,23,50,40,36,30,41,38,41,46,32	44%	-115	-115
Kirk Cousins	-165	H	MIN	NYG	9th	pass_td	1.5	1.7	1.92 - 1.0	1.38 - 2.0	53%	33%	1,1,3,4,2,1,3,0,1,2,2,2,1,1,2,1,2	75%	-175	'+130
Kirk Cousins	-165	H	MIN	NYG	12th	pass_cmp	24.5	24.9	25.85 - 22.0	23.75 - 26.0	47%	33%	17,18,34,34,31,21,30,12,30,22,24,20,32,25,24,27,23	44%	-110	-120
Kirk Cousins	-165	H	MIN	NYG	31st	pass_int	0.5	0.8	0.62 - 1.5	1.25 - 0.44	47%	33%	0,3,0,2,0,0,1,0,2,1,0,0,1,1,0,3,0	38%	'+100	-130
Kirk Cousins	-165	H	MIN	NYG	14th	pass_yds	278.5	267.5	276.23 - 239.0	268.25 - 266.78	35%	33%	225,205,299,460,425,173,299,105,357,265,232,175,296,273,260,221,277	44%	-115	-115
Kj Osborn	-165	H	MIN	NYG	12th	rec	3.5	3.5	3.38 - 4.0	3.38 - 3.67	41%	67%	5,7,3,10,5,2,1,2,4,0,2,3,5,1,5,2,3	29%	'+100	-135
Kj Osborn	-165	H	MIN	NYG	14th	rec_yds	37.5	38.2	39.31 - 34.75	37.25 - 39.11	35%	67%	117,59,17,157,38,17,8,17,35,0,8,18,41,6,73,25,14	41%	-105	-125
Mark Andrews	'+350	A	BAL	CIN	13th	rec	4.5	4.9	4.33 - 5.67	4.57 - 5.12	47%	33%	9,3,3,2,4,4,6,3,0,7,8,2,8,9,5	76%	-120	-110
Mark Andrews	'+350	A	BAL	CIN	23rd	rec_yds	54.5	56.5	49.0 - 67.67	54.0 - 58.62	40%	33%	100,45,31,17,53,50,63,33,0,106,89,15,89,104,52	76%	-115	-115
Matt Milano	-850	H	BUF	MIA	1st	tackles_combined	7.5	6.6	6.85 - 5.0	6.57 - 6.62	33%	67%	8,6,8,9,6,7,12,6,5,3,2,13,4,3,7	25%	-120	-110
Mike Gesicki	'+600	A	MIA	BUF	15th	rec_yds	17.5	21.3	21.44 - 21.12	17.56 - 25.5	59%	100%	46,18,24,5,0,0,0,31,3,38,27,69,30,23,6,41,1	82%	-130	-105
Mike Gesicki	'+600	A	MIA	BUF	22nd	rec	1.5	1.9	2.11 - 1.62	1.56 - 2.25	47%	67%	4,2,1,1,0,0,0,2,1,3,3,6,1,2,1,4,1	88%	-155	'+110
Patrick Peterson	-165	H	MIN	NYG	21st	tackles_combined	3.5	3.9	3.62 - 4.75	3.5 - 4.22	65%	67%	2,6,4,4,5,3,3,5,4,1,4,4,4,3,5,3,6	38%	-130	'+100
Salvon Ahmed	'+600	A	MIA	BUF	14th	rush_yds	20.5	10.7	6.67 - 14.67	11.5 - 9.0	17%	33%	7,0,43,1,11,2	36%	'+100	-130
Samaje Perine	-435	H	CIN	BAL	3rd	rush_yds	16.5	24.6	30.33 - 7.5	21.44 - 28.71	56%	67%	18,3,24,22,106,58,30,51,7,0,5,17,0,47,2,4	40%	-120	-120
Sammy Watkins	'+350	A	BAL	CIN	23rd	rec_yds	15.5	59.5	40.0 - 79.0	79.0 - 40.0	100%	100%	79,40	0%	-115	-115
Sammy Watkins	'+350	A	BAL	CIN	13th	rec	1.5	1.5	1.0 - 2.0	2.0 - 1.0	50%	50%	2,1	0%	'+110	-145
Saquon Barkley	'+140	A	NYG	MIN	22nd	rush_yds	72.5	82.0	100.5 - 52.86	86.71 - 78.33	50%	67%	58,84,87,28,63,39,22,152,53,110,83,70,146,81,72,164	8%	-130	-105
Saquon Barkley	'+140	A	NYG	MIN	28th	rec	3.5	3.6	3.4 - 4.0	4.71 - 2.67	44%	67%	2,8,5,2,5,4,2,1,3,4,3,3,2,4,3,6	46%	-150	'+115
Saquon Barkley	'+140	A	NYG	MIN	31st	rec_yds	22.5	21.1	18.9 - 23.86	27.86 - 15.89	38%	67%	-5,49,33,20,18,13,13,8,9,25,12,36,16,45,16,30	38%	-120	-110
Saquon Barkley	'+140	A	NYG	MIN	18th	rush_att	17.5	18.4	21.2 - 14.43	16.86 - 19.67	56%	33%	12,14,18,9,18,11,15,35,20,24,22,13,31,14,21,18	8%	-130	-105
Shaq Lawson	-850	H	BUF	MIA		sacks	0.75	0.2	0.27 - 0.17	0.14 - 0.36	21%	33%	0,0,1,1,0,0,0,0,0,1,0,0,0,0	0%	'+190	-260
Skylar Thompson	'+600	A	MIA	BUF	4th	pass_int	0.5	0.4	0.0 - 0.75	1.0 - 0.0	43%	67%	0,1,1,0,0,0,1	0%	-245	'+180
Skylar Thompson	'+600	A	MIA	BUF	22nd	pass_cmp	17.5	8.6	7.33 - 9.5	10.33 - 7.25	29%	33%	20,12,0,1,1,7,19	0%	-105	-125
Skylar Thompson	'+600	A	MIA	BUF	28th	pass_att	30.5	15.0	12.33 - 17.0	18.33 - 12.5	29%	33%	31,21,1,5,1,13,33	0%	'+100	-135
Skylar Thompson	'+600	A	MIA	BUF	13th	pass_td	0.5	0.1	0.0 - 0.25	0.33 - 0.0	14%	33%	0,1,0,0,0,0,0	0%	-210	'+155
Skylar Thompson	'+600	A	MIA	BUF	15th	pass_yds	190.5	76.3	58.33 - 89.75	90.0 - 66.0	0%	0%	152,104,0,6,17,89,166	0%	-105	-125
Skylar Thompson	'+600	A	MIA	BUF	14th	rush_yds	10.5	3.0	2.67 - 3.25	1.33 - 4.25	0%	0%	3,4,0,5,0,9,0	0%	-115	-125
Stefon Diggs	-850	H	BUF	MIA	27th	rec_yds	77.5	89.3	87.23 - 98.33	86.75 - 91.88	56%	33%	104,26,60,37,92,77,48,128,93,108,148,102,62,74,148,122	35%	-115	-115
Stefon Diggs	-850	H	BUF	MIA	31st	rec	6.5	6.8	6.46 - 8.0	6.38 - 7.12	56%	33%	7,2,5,3,7,8,4,12,5,6,10,8,4,7,12,8	47%	'+100	-140
Taron Johnson	-850	H	BUF	MIA	1st	tackles_combined	4.5	5.6	5.69 - 5.33	5.0 - 6.25	69%	33%	8,3,4,8,4,3,8,5,5,7,6,5,4,6,5,9	38%	'+110	-145
