NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Deni Avdija	SF	26	'+440	H	WSH	BOS	3rd	reb	8.5	6.4	7.69 - 5.41	6.22 - 6.61	32%	40%	80%	9,11,8,10,11,1,6,2,6,8	16%	-105	-125
Clint Capela	C	26	-135	H	ATL	CLE	16th	reb	12.5	11.2	11.23 - 11.25	10.25 - 12.13	31%	33%	60%	16,17,8,16,12,9,10,9,10,3	40%	'+120	-150
Josh Giddey	SG	31	-390	H	OKC	CHA	19th	reb	9.5	7.9	7.66 - 8.13	8.14 - 7.67	31%	33%	40%	11,17,3,6,6,7,13,11,7,7	25%	'+130	-160
Corey Kispert	SF	28	'+440	H	WSH	BOS	3rd	reb	3.5	2.8	3.03 - 2.61	2.91 - 2.66	30%	33%	60%	3,5,3,4,5,2,2,3,2,1	0%	-125	-105
Darius Garland	PG	35	'+115	A	CLE	ATL	11th	reb	3.5	2.7	2.79 - 2.56	2.73 - 2.66	29%	27%	40%	4,1,1,4,2,3,6,0,5,3	36%	'+135	-165
Xavier Tillman	C	18	-275	H	MEM	ORL	8th	reb	6.5	4.8	4.42 - 5.42	4.96 - 4.6	29%	47%	40%	8,4,2,3,10,6,3,5,8,8	21%	'+100	-130
Dennis Smith Jr	PG	25	'+320	A	CHA	OKC	20th	reb	4.5	3.1	3.16 - 3.06	2.56 - 3.63	26%	53%	80%	5,5,2,5,5,4,8,3,0,5	14%	'+105	-135
Evan Mobley	PF	34	'+115	A	CLE	ATL	27th	reb	10.5	8.9	8.96 - 8.89	8.73 - 9.14	26%	33%	40%	7,16,4,8,12,6,9,4,6,17	26%	-125	-105
Pj Washington	PF	32	'+320	A	CHA	OKC	30th	reb	6.5	4.9	5.87 - 4.48	4.92 - 4.94	24%	47%	20%	12,6,2,2,6,5,5,7,5,7	44%	'+120	-150
Jaylin Williams	F	18	-390	H	OKC	CHA	28th	reb	6.5	4.8	5.19 - 4.5	4.04 - 5.94	23%	27%	20%	6,3,9,2,6,3,7,5,3,3	0%	'+120	-150
Nick Richards	C	18	'+320	A	CHA	OKC	26th	reb	9.5	6.3	7.79 - 5.56	6.0 - 6.53	22%	33%	60%	11,14,17,2,8,12,8,10,5,3	6%	-140	'+110
Tyus Jones	PG	24	-275	H	MEM	ORL	4th	reb	3.5	2.4	2.45 - 2.41	2.32 - 2.54	22%	33%	0%	2,3,3,2,2,10,4,5,4,4	36%	-115	-115
Jalen Williams	F	30	-390	H	OKC	CHA	28th	reb	6.5	4.5	5.12 - 3.91	4.36 - 4.67	19%	33%	40%	5,5,3,8,10,7,10,7,4,5	0%	'+115	-145
