NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Jusuf Nurkic	C	28	-205	H	POR	CHA	30th	pts+ast	17.5	17.3	17.07 - 17.54	15.93 - 18.85	54%	40%	16,16,17,21,18,10,23	52%	-115	-115
Jaden Ivey	PG	30	'+190	H	DET	LAC	15th	pts+reb+ast	22.5	23.7	23.12 - 23.91	22.65 - 25.08	53%	40%	22,39,24,13,20,19,19	0%	-110	-120
Jaden Ivey	PG	30	'+190	H	DET	LAC	29th	reb+ast	7.5	8.1	9.25 - 7.73	8.24 - 8.0	53%	40%	4,9,5,8,7,3,9	0%	'+100	-130
Kevin Porter Jr	SG	34	'+250	A	HOU	CHI	28th	pts+ast	23.5	24.4	24.78 - 24.29	23.56 - 25.43	53%	40%	36,19,17,26,22,25,16	48%	-110	-120
Buddy Hield	SG	31	'+210	A	IND	NO	9th	pts+reb+ast	23.5	24.8	25.0 - 24.56	25.06 - 24.5	53%	40%	18,29,20,23,30,23,34	46%	-105	-125
Anfernee Simons	SG	35	-205	H	POR	CHA	14th	pts+reb+ast	28.5	30.0	31.94 - 27.71	29.53 - 30.54	53%	40%	17,24,35,12,30,22,35	48%	-115	-115
Gordon Hayward	SF	32	'+175	A	CHA	POR	11th	pts+reb	20.5	20.1	19.6 - 20.4	21.2 - 18.0	53%	40%	15,24,25,12,9,25,19	49%	-120	-110
Gordon Hayward	SF	32	'+175	A	CHA	POR	15th	reb+ast	8.5	8.9	6.4 - 10.2	9.6 - 7.6	53%	40%	12,6,14,8,5,9,13	44%	-115	-115
Mason Plumlee	C	27	'+175	A	CHA	POR	12th	reb+ast	12.5	13.0	13.62 - 12.75	11.71 - 14.4	53%	40%	4,7,13,9,21,17,12	38%	-115	-115
Paul George	SG	34	-225	A	LAC	DET	24th	stl+blk	1.5	1.9	2.2 - 1.38	1.73 - 2.08	52%	40%	3,0,1,5,1,2,0	71%	-135	'+105
Kevin Durant	PF	36	'+105	A	BKN	CLE	14th	reb+ast	10.5	11.9	12.74 - 10.5	11.4 - 12.31	52%	40%	12,8,7,15,8,17,12	71%	-110	-120
Darius Garland	PG	36	-125	H	CLE	BKN	16th	reb+ast	10.5	10.6	11.19 - 9.64	10.17 - 10.87	52%	40%	6,9,19,16,8,16,11	58%	-120	-110
Evan Mobley	PF	34	-125	H	CLE	BKN	10th	pts+reb	22.5	23.8	23.23 - 25.09	24.6 - 23.22	52%	40%	10,20,25,25,21,30,33	58%	-120	-110
Keldon Johnson	SF	32	-190	H	SA	UTAH	2nd	pts+reb+ast	29.5	29.1	32.89 - 27.28	26.36 - 31.06	52%	40%	27,34,29,29,40,34,24	18%	-130	'+100
Jakob Poeltl	C	26	-190	H	SA	UTAH	26th	stl+blk	1.5	1.9	2.43 - 1.62	1.27 - 2.42	52%	40%	1,2,2,1,0,3,1	63%	-140	'+110
Jaden Mcdaniels	PF	30	'+130	A	MIN	MIA	21st	stl	0.5	1.1	1.27 - 0.86	1.64 - 0.53	52%	40%	0,0,0,2,3,1,0	54%	-205	'+165
Kyrie Irving	PG	36	'+105	A	BKN	CLE	5th	stl	0.5	0.9	0.77 - 1.0	0.75 - 0.93	50%	40%	1,0,1,0,0,0,2	79%	-195	'+160
Jarrett Allen	C	33	-125	H	CLE	BKN	17th	pts+reb	23.5	24.3	25.58 - 20.86	22.09 - 25.93	50%	40%	27,31,23,12,20,23,32	68%	-120	-110
Tre Jones	PG	30	-190	H	SA	UTAH	3rd	ast	6.5	6.6	6.3 - 6.75	5.69 - 7.29	50%	40%	3,8,9,6,5,4,5	32%	'+115	-145
Anthony Edwards	SG	36	'+130	A	MIN	MIA	12th	pts	24.5	23.0	24.12 - 21.94	22.53 - 23.47	50%	40%	23,27,37,19,19,17,26	40%	-105	-125
Anthony Edwards	SG	36	'+130	A	MIN	MIA	14th	stl	1.5	1.8	2.0 - 1.62	1.53 - 2.06	50%	40%	1,1,2,1,2,2,2	41%	-105	-125
Dangelo Russell	PG	32	'+130	A	MIN	MIA	7th	blk	0.5	0.5	0.47 - 0.6	0.46 - 0.59	50%	40%	1,0,0,1,0,1,0	24%	'+190	-235
Alperen Sengun	C	26	'+250	A	HOU	CHI	10th	reb	8.5	8.7	10.29 - 8.19	7.93 - 9.62	50%	40%	12,4,8,5,16,8,11	27%	'+105	-135
Alperen Sengun	C	26	'+250	A	HOU	CHI	15th	pts+ast	16.5	16.7	16.29 - 16.81	16.53 - 16.85	50%	40%	19,25,10,14,12,11,18	41%	-125	-105
Kevin Porter Jr	SG	34	'+250	A	HOU	CHI	21st	pts+reb+ast	28.5	30.0	31.33 - 29.43	28.88 - 31.29	50%	40%	42,23,24,33,27,28,19	43%	-110	-120
Buddy Hield	SG	31	'+210	A	IND	NO	17th	3ptm	3.5	3.6	3.62 - 3.56	3.5 - 3.69	50%	40%	2,5,4,3,3,4,4	46%	'+120	-150
Herbert Jones	SF	28	-250	H	NO	IND	24th	stl+blk	1.5	2.0	2.17 - 1.7	1.5 - 2.33	50%	40%	3,5,0,1,0,0,7	71%	-185	'+150
Jerami Grant	SF	35	-205	H	POR	CHA	13th	pts	21.5	21.8	23.73 - 19.93	24.12 - 18.85	50%	40%	17,26,7,18,24,17,18	46%	-120	-110
Jerami Grant	SF	35	-205	H	POR	CHA	20th	ast	2.5	2.7	2.47 - 2.93	2.94 - 2.38	50%	40%	4,3,1,2,2,2,3	54%	-140	'+110
Jerami Grant	SF	35	-205	H	POR	CHA	13th	pts+reb	26.5	26.0	28.07 - 23.93	28.24 - 23.08	50%	40%	22,34,7,22,27,24,21	46%	-120	-110
Jerami Grant	SF	35	-205	H	POR	CHA	23rd	reb+ast	7.5	6.9	6.8 - 6.93	7.06 - 6.62	50%	40%	9,11,1,6,5,9,6	40%	-125	-105
Jusuf Nurkic	C	28	-205	H	POR	CHA	28th	pts	14.5	14.4	13.73 - 15.23	13.0 - 16.08	50%	40%	12,14,16,15,14,8,21	43%	-115	-115
Jusuf Nurkic	C	28	-205	H	POR	CHA	30th	pts+reb+ast	27.5	27.1	27.67 - 26.38	24.73 - 29.77	50%	40%	22,21,23,28,34,25,32	54%	-125	-105
Terry Rozier	SG	36	'+175	A	CHA	POR	16th	stl	0.5	0.7	1.0 - 0.59	0.78 - 0.62	50%	40%	0,1,1,0,0,1,2	59%	-235	'+190
Bojan Bogdanovic	SF	30	'+190	H	DET	LAC	17th	reb	3.5	3.6	4.38 - 3.4	4.22 - 2.93	48%	40%	8,3,1,2,4,4,4	61%	'+100	-130
Isaiah Stewart	C	27	'+190	H	DET	LAC	4th	3ptm	1.5	1.5	1.33 - 1.52	1.33 - 1.6	48%	40%	0,0,1,3,2,2,3	5%	'+140	-175
Darius Garland	PG	36	-125	H	CLE	BKN	11th	pts	19.5	20.8	21.94 - 19.09	16.25 - 24.4	48%	40%	23,17,18,20,12,18,13	63%	-110	-120
Evan Mobley	PF	34	-125	H	CLE	BKN	9th	reb+ast	11.5	11.7	11.73 - 11.73	11.07 - 12.28	48%	40%	4,11,12,11,13,17,15	48%	-120	-110
Patrick Williams	PF	27	-300	H	CHI	HOU	20th	stl	0.5	0.6	0.62 - 0.56	0.53 - 0.64	48%	40%	0,1,0,0,1,0,0	57%	-185	'+150
Zach Lavine	SG	34	-300	H	CHI	HOU	4th	reb+ast	9.5	8.7	9.42 - 8.13	9.54 - 7.93	48%	40%	10,13,7,6,8,6,6	43%	'+100	-130
Trey Murphy Iii	SG	28	-250	H	NO	IND	17th	reb	4.5	4.3	4.59 - 3.83	3.92 - 4.56	48%	40%	4,5,4,5,0,7,3	44%	-130	'+100
Royce Oneale	PF	35	'+105	A	BKN	CLE	19th	blk	0.5	0.7	0.61 - 0.75	0.5 - 0.81	47%	40%	2,0,0,1,0,1,0	31%	'+165	-205
Jordan Clarkson	PG	32	'+160	A	UTAH	SA	20th	pts+reb	25.5	24.0	25.79 - 21.67	23.65 - 24.29	47%	40%	30,24,25,14,47,12,23	33%	-115	-115
Lauri Markkanen	PF	33	'+160	A	UTAH	SA	30th	pts+reb+ast	31.5	32.9	37.11 - 27.57	32.29 - 33.67	47%	40%	27,44,31,24,39,31,29	15%	-105	-125
Anthony Edwards	SG	36	'+130	A	MIN	MIA	10th	pts+ast	29.5	27.5	29.38 - 25.62	26.4 - 28.47	47%	40%	28,36,48,26,22,20,33	37%	-110	-120
Anthony Edwards	SG	36	'+130	A	MIN	MIA	29th	3ptm	2.5	2.5	2.88 - 2.12	2.73 - 2.29	47%	40%	0,3,4,2,2,3,4	62%	-120	-110
Kevin Porter Jr	SG	34	'+250	A	HOU	CHI	17th	pts+reb	23.5	24.4	24.67 - 24.33	22.94 - 26.14	47%	40%	37,19,20,28,23,21,15	38%	-110	-120
Kevin Porter Jr	SG	34	'+250	A	HOU	CHI	28th	3ptm	1.5	1.9	1.56 - 2.0	1.88 - 1.86	47%	40%	5,1,0,0,2,0,0	77%	-145	'+115
Jerami Grant	SF	35	-205	H	POR	CHA	13th	pts+ast	24.5	24.5	26.2 - 22.87	27.06 - 21.23	47%	40%	21,29,8,20,26,19,21	44%	-115	-115
Jerami Grant	SF	35	-205	H	POR	CHA	13th	stl+blk	1.5	1.6	1.33 - 1.8	1.53 - 1.62	47%	40%	1,2,0,2,1,0,2	62%	-120	-110
Mason Plumlee	C	27	'+175	A	CHA	POR	25th	pts+reb+ast	23.5	23.0	24.88 - 22.38	21.53 - 24.67	47%	40%	22,22,24,17,33,24,25	22%	-110	-120
Mason Plumlee	C	27	'+175	A	CHA	POR	26th	blk	0.5	0.6	0.88 - 0.54	0.82 - 0.4	47%	40%	0,3,2,0,0,1,1	52%	-160	'+130
Jalen Duren	C	23	'+190	H	DET	LAC	8th	blk	0.5	0.8	1.5 - 0.52	0.69 - 0.87	45%	40%	0,0,0,1,3,0,0	0%	-145	'+115
Ben Simmons	PG	27	'+105	A	BKN	CLE	4th	reb	6.5	6.5	7.23 - 5.56	5.83 - 7.4	45%	40%	4,8,5,8,6,4,12	0%	'+105	-135
Ben Simmons	PG	27	'+105	A	BKN	CLE	2nd	pts+reb+ast	20.5	20.8	21.38 - 19.89	20.83 - 20.7	45%	40%	22,20,20,23,19,7,22	0%	-130	'+100
Kyrie Irving	PG	36	'+105	A	BKN	CLE	3rd	stl+blk	1.5	1.9	1.69 - 2.11	1.5 - 2.07	45%	40%	1,0,3,0,4,1,2	62%	'+100	-130
Nikola Vucevic	C	32	-300	H	CHI	HOU	3rd	reb+ast	13.5	13.3	15.08 - 12.06	12.06 - 14.86	45%	40%	9,14,14,12,12,9,12	42%	-110	-120
Patrick Williams	PF	27	-300	H	CHI	HOU	22nd	stl+blk	1.5	1.5	1.46 - 1.61	1.53 - 1.57	45%	40%	2,1,0,0,2,2,2	39%	-160	'+130
Herbert Jones	SF	28	-250	H	NO	IND	18th	pts+reb+ast	16.5	15.9	14.08 - 18.1	17.4 - 14.67	45%	40%	17,12,15,20,8,17,18	32%	-115	-115
Herbert Jones	SF	28	-250	H	NO	IND	11th	pts+ast	12.5	12.5	11.08 - 14.2	13.9 - 11.33	45%	40%	14,10,12,16,8,13,15	37%	-120	-110
Terry Rozier	SG	36	'+175	A	CHA	POR	23rd	3ptm	2.5	2.5	1.8 - 2.71	2.78 - 2.31	45%	40%	0,2,2,5,3,3,3	56%	'+140	-175
Killian Hayes	PG	25	'+190	H	DET	LAC	23rd	ast	5.5	5.2	6.0 - 5.0	5.06 - 5.44	44%	40%	4,5,8,4,8,9,5	18%	-145	'+115
Killian Hayes	PG	25	'+190	H	DET	LAC	28th	stl+blk	1.5	1.5	0.75 - 1.69	1.39 - 1.56	44%	40%	2,1,2,0,0,1,2	47%	-125	-105
Jeremy Sochan	F	24	-190	H	SA	UTAH	17th	pts	10.5	8.2	8.0 - 8.22	9.67 - 6.77	44%	40%	23,12,2,4,2,5,13	0%	-105	-125
Lauri Markkanen	PF	33	'+160	A	UTAH	SA	23rd	stl	0.5	0.6	0.72 - 0.43	0.53 - 0.67	44%	40%	0,1,2,0,0,1,3	52%	-120	-110
Mason Plumlee	C	27	'+175	A	CHA	POR	15th	stl	0.5	0.7	0.75 - 0.62	0.53 - 0.8	44%	40%	2,0,0,2,0,1,2	66%	-130	'+100
Kevin Porter Jr	SG	34	'+250	A	HOU	CHI	26th	pts	18.5	18.9	18.11 - 19.19	17.62 - 20.29	43%	40%	31,15,13,21,18,18,12	38%	-105	-125
Jerami Grant	SF	35	-205	H	POR	CHA	24th	reb	4.5	4.2	4.33 - 4.0	4.12 - 4.23	43%	40%	5,8,0,4,3,7,3	44%	-125	-105
Bojan Bogdanovic	SF	30	'+190	H	DET	LAC	2nd	3ptm	2.5	2.5	3.5 - 2.16	2.0 - 3.07	42%	40%	0,2,3,1,3,6,2	39%	'+130	-160
Jarrett Allen	C	33	-125	H	CLE	BKN	3rd	blk	1.5	1.3	1.16 - 1.57	1.27 - 1.27	42%	40%	0,3,2,0,0,3,1	39%	'+165	-205
Jalen Green	SG	34	'+250	A	HOU	CHI	28th	ast	3.5	3.6	4.67 - 3.18	3.38 - 3.87	42%	40%	1,2,4,1,4,3,2	30%	-120	-110
Nikola Vucevic	C	32	-300	H	CHI	HOU	5th	pts+reb	27.5	27.2	28.92 - 25.94	27.18 - 27.21	42%	40%	27,41,32,17,26,21,28	50%	-125	-105
Myles Turner	C	29	'+210	A	IND	NO	15th	reb+ast	9.5	9.2	9.92 - 8.54	9.15 - 9.31	42%	40%	9,9,11,5,15,5,6	36%	-115	-115
Cj Mccollum	SG	35	-250	H	NO	IND	25th	reb+ast	11.5	11.0	10.38 - 11.91	9.92 - 11.87	41%	40%	17,17,10,10,6,11,12	19%	'+105	-135
Herbert Jones	SF	28	-250	H	NO	IND	10th	pts	10.5	10.3	9.0 - 11.9	11.3 - 9.5	41%	40%	12,9,8,12,6,12,12	29%	-120	-110
