NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Jeremy Sochan	F	24	-190	H	SA	UTAH	5th	stl+blk	1.5	1.2	0.86 - 1.39	1.25 - 1.23	36%	0%	1,1,0,0,0,0,5	0%	'+105	-135
Donovan Mitchell	SG	36	-125	H	CLE	BKN	27th	blk	0.5	0.3	0.4 - 0.22	0.21 - 0.47	28%	0%	0,0,0,0,0,0,0	21%	'+225	-285
Trey Murphy Iii	SG	28	-250	H	NO	IND	25th	reb+ast	6.5	5.7	6.06 - 5.08	5.31 - 5.94	28%	0%	5,5,6,5,2,9,4	39%	'+110	-140
Isaiah Stewart	C	27	'+190	H	DET	LAC	29th	ast	1.5	1.1	1.67 - 1.0	1.33 - 1.0	26%	0%	1,1,0,1,1,0,0	30%	'+155	-190
Jordan Clarkson	PG	32	'+160	A	UTAH	SA	15th	blk	0.5	0.3	0.26 - 0.33	0.47 - 0.12	26%	0%	0,0,0,0,0,1,0	20%	'+300	-400
Jaden Ivey	PG	30	'+190	H	DET	LAC	11th	blk	0.5	0.3	0.5 - 0.18	0.12 - 0.46	20%	0%	0,0,0,0,0,1,0	0%	'+280	-360
Damian Lillard	PG	34	-205	H	POR	CHA	24th	blk	0.5	0.2	0.33 - 0.0	0.1 - 0.3	20%	0%	0,0,0,0,0,0,0	29%	'+300	-400
Alperen Sengun	C	26	'+250	A	HOU	CHI	17th	3ptm	0.5	0.1	0.0 - 0.19	0.13 - 0.15	14%	0%	0,0,0,0,0,0,0	31%	'+450	-650
Tre Jones	PG	30	-190	H	SA	UTAH	18th	blk	0.5	0.2	0.2 - 0.15	0.08 - 0.24	13%	0%	0,0,0,0,0,1,0	8%	'+340	-450
Josh Hart	SG	34	-205	H	POR	CHA	29th	blk	0.5	0.1	0.0 - 0.21	0.0 - 0.23	10%	0%	0,0,0,0,0,0,0	18%	'+420	-585
Zach Lavine	SG	34	-300	H	CHI	HOU	21st	blk	0.5	0.0	0.08 - 0.0	0.0 - 0.07	4%	0%	0,0,0,0,0,0,0	32%	'+500	-750
Bojan Bogdanovic	SF	30	'+190	H	DET	LAC	18th	blk	0.5	0.0	0.0 - 0.04	0.0 - 0.07	3%	0%	0,0,0,0,0,1,0	1%	'+1300	-4000
