TEAM,POS,PLAYER,Snaps,Snap%,TGT,TGT%,ATT,Ru%,INVL,USG,RuYd,Ru%,ReYd,Re%,AirYd,Air%,TD,TD%,DOM,PPR,Tm PPR,PPR%
CLE,TE,Austin Hooper,56,77%,2,6%,0,0%,4%,3%,0,0%,15,8%,15,5%,0,0%,5%,3.5,59.6,6%
HOU,TE,Darren Fells,25,42%,2,6%,0,0%,8%,4%,0,0%,19,8%,6,2%,0,0%,4%,3.9,66.4,6%
NYG,TE,Evan Engram,64,94%,7,18%,0,0%,11%,12%,0,0%,9,3%,33,14%,0,0%,4%,2.9,66.6,4%
TB,TE,Rob Gronkowski,54,77%,3,9%,0,0%,6%,5%,0,0%,11,5%,22,8%,0,0%,4%,3.1,66.6,5%
CAR,TE,Ian Thomas,44,66%,2,6%,0,0%,5%,3%,0,0%,16,6%,12,4%,0,0%,4%,3.6,79.2,5%
LAR,TE,Gerald Everett,24,33%,2,7%,0,0%,8%,3%,0,0%,7,3%,16,13%,0,0%,3%,1.7,73.3,2%
NYG,TE,Kaden Smith,29,43%,2,5%,0,0%,7%,3%,0,0%,17,6%,4,2%,0,0%,3%,3.7,66.6,6%
DAL,TE,Blake Jarwin,25,35%,1,3%,0,0%,4%,2%,0,0%,12,5%,12,5%,0,0%,3%,2.2,74.2,3%
IND,TE,Mo Alie-Cox,29,39%,2,4%,0,0%,7%,3%,0,0%,20,6%,6,2%,0,0%,3%,4.0,92.8,4%
LAC,TE,Virgil Green,24,32%,2,7%,0,0%,8%,3%,0,0%,10,5%,11,3%,0,0%,3%,2.0,57.6,3%
DAL,TE,Dalton Schultz,50,69%,4,11%,0,0%,8%,6%,0,0%,11,4%,14,5%,0,0%,3%,2.1,74.2,3%
GB,TE,Josiah Deguara,24,31%,2,5%,0,0%,8%,3%,0,0%,12,3%,24,7%,0,0%,3%,2.2,114.2,2%
MIN,TE,Irv Smith Jr.,31,60%,1,4%,0,0%,3%,2%,0,0%,11,4%,11,4%,0,0%,3%,2.1,84.9,2%
NYG,TE,Levine Toilolo,24,35%,1,3%,0,0%,4%,2%,0,0%,13,5%,5,2%,0,0%,3%,2.3,66.6,3%
SF,TE,Jordan Reed,10,16%,2,6%,0,0%,20%,4%,0,0%,12,5%,5,2%,0,0%,3%,3.2,68.3,5%
JAC,TE,Tyler Eifert,28,56%,1,5%,0,0%,4%,2%,0,0%,8,5%,1,1%,0,0%,2%,1.8,61.5,3%
NO,TE,Josh Hill,36,53%,1,3%,0,0%,3%,2%,0,0%,0,0%,22,14%,0,0%,2%,0.0,61.3,0%
CLE,TE,Harrison Bryant,31,42%,2,6%,0,0%,6%,3%,0,0%,5,3%,9,3%,0,0%,2%,1.5,59.6,3%
CIN,TE,Drew Sample,24,35%,1,3%,0,0%,4%,2%,0,0%,7,4%,0,0%,0,0%,2%,1.7,49.9,3%
SEA,TE,Jacob Hollister,11,18%,1,3%,0,0%,9%,2%,0,0%,9,3%,2,1%,0,0%,2%,1.9,98.7,2%
SEA,TE,Will Dissly,25,40%,2,6%,0,0%,8%,4%,0,0%,8,2%,1,0%,0,0%,1%,2.8,98.7,3%
TEN,TE,Anthony Firkser,32,40%,2,5%,0,0%,6%,3%,0,0%,5,2%,3,1%,0,0%,1%,2.5,77.5,3%
BAL,TE,Nick Boyle,39,66%,3,12%,0,0%,8%,5%,0,0%,3,1%,8,3%,0,0%,1%,2.3,85.7,3%
PIT,TE,Vance McDonald,38,59%,2,6%,0,0%,5%,3%,0,0%,3,1%,3,1%,0,0%,1%,1.3,75.1,2%
CHI,TE,Demetrius Harris,26,40%,1,3%,0,0%,4%,2%,0,0%,0,0%,13,4%,0,0%,1%,0.0,74.5,0%
LV,TE,Jason Witten,28,44%,1,4%,0,0%,4%,2%,0,0%,2,1%,2,1%,0,0%,1%,1.2,99.15,1%
