"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"107","Marcus Johnson","WR","IND",8,6,102,110,28,1,13.8,0.93,0.07,0.04,0.11,22
"108","Aldrick Robinson","WR","MIN",6,4,47,41,7,2,6.8,1.15,0.04,0.03,0.08,20.7
"109","Dante Pettis","WR","SF",7,3,96,133,39,1,19,0.72,0.13,0.06,0.18,18.6
"110","Andre Holmes","WR","BUF",16,9,90,189,26,0,11.8,0.48,0.12,0.09,0.22,18
"111","Michael Gallup","WR","DAL",18,7,109,228,20,0,12.7,0.48,0.17,0.11,0.28,17.9
"112","Chad Williams","WR","ARI",21,5,58,236,6,1,11.2,0.25,0.18,0.12,0.31,16.8
"113","Cody Latimer","WR","NYG",9,6,108,188,23,0,20.9,0.57,0.19,0.06,0.22,16.8
"114","James Washington","WR","PIT",14,5,49,284,13,1,20.3,0.17,0.16,0.06,0.21,15.9
"115","Tre'Quan Smith","WR","NO",6,3,67,101,7,1,16.8,0.66,0.1,0.04,0.13,15.7
"116","Chris Moore","WR","BAL",11,8,65,83,34,0,7.5,0.78,0.04,0.05,0.1,15
"117","Equanimeous St. Brown","WR","GB",6,4,108,103,38,0,17.2,1.05,0.12,0.06,0.18,14.8
"118","Josh Doctson","WR","WAS",19,8,68,202,8,0,10.6,0.34,0.23,0.15,0.38,14.8
"119","Damion Ratley","WR","CLE",8,6,82,106,9,0,13.2,0.77,0.25,0.17,0.44,14.2
"120","Austin Carr","WR","NO",8,6,72,83,17,0,10.4,0.87,0.08,0.05,0.13,13.2
"121","D.J. Chark","WR","JAC",11,4,87,135,19,0,12.3,0.64,0.08,0.05,0.13,12.7
"122","Maurice Harris","WR","WAS",12,6,60,131,14,0,10.9,0.46,0.21,0.16,0.39,12.6
"123","Tim Patrick","WR","DEN",6,3,36,80,25,1,13.3,0.45,0.06,0.04,0.1,12.6
"124","De'Anthony Thomas","WR","KC",5,3,29,71,27,1,14.2,0.41,0.05,0.04,0.09,12.5
"125","Demarcus Robinson","WR","KC",6,3,34,95,0,1,15.8,0.36,0.07,0.04,0.11,12.4
"126","Josh Bellamy","WR","CHI",3,3,28,14,14,1,4.7,2,0.02,0.03,0.06,11.8
"127","Curtis Samuel","WR","CAR",4,2,37,64,24,1,16,0.58,0.1,0.05,0.15,11.7
"128","Marvin Hall","WR","ATL",6,5,64,45,33,0,7.5,1.42,0.03,0.03,0.07,11.4
"129","Kamar Aiken","WR","PHI",7,6,53,47,11,0,6.7,1.13,0.07,0.07,0.15,11.3
"130","Alex Erickson","WR","CIN",8,6,40,85,21,0,10.6,0.47,0.05,0.04,0.09,10.8
"131","Russell Shepard","WR","NYG",8,4,61,134,2,0,16.8,0.46,0.12,0.07,0.18,10.1
"132","Derrick Willies","WR","CLE",5,3,61,18,54,0,3.6,3.39,0.05,0.12,0.21,9.1
"133","Josh Gordon","WR","CLE",3,1,17,129,17,1,43,0.13,0.29,0.08,0.32,8.7
"134","Josh Reynolds","WR","LA",6,3,37,89,5,0,14.8,0.42,0.11,0.07,0.18,7.7
"135","Justin Hardy","WR","ATL",8,4,37,63,20,0,7.9,0.59,0.03,0.04,0.07,7.7
"136","DaeSean Hamilton","WR","DEN",3,3,44,27,17,0,9,1.63,0.03,0.02,0.05,7.4
"137","Cody Hollister","UNK","NE",3,3,35,23,12,0,7.7,1.52,0.08,0.08,0.17,6.5
"138","DeVante Parker","WR","MIA",4,2,40,115,2,0,28.8,0.35,0.22,0.06,0.24,6
"139","Mike Gillislee","UNK","NO",1,1,9,0,9,0,0,Inf,0,0.01,0.01,5.8
"140","Shelton Gibson","WR","PHI",3,1,48,100,0,0,33.3,0.48,0.1,0.03,0.11,5.8
"141","Darius Jennings","WR","TEN",4,3,19,46,16,0,11.5,0.41,0.04,0.03,0.07,4.9
"142","Brian Quick","WR","WAS",3,3,18,17,1,0,5.7,1.06,0.03,0.04,0.08,4.8
"143","Dwayne Harris","WR","OAK",3,3,18,-4,22,0,-1.3,-4.5,0,0.01,0.02,4.7
"144","Jawill Davis","WR","NYG",6,2,27,116,2,0,19.3,0.23,0.1,0.05,0.15,4.7
"145","Ray-Ray McCloud","WR","BUF",3,3,15,-11,26,0,-3.7,-1.36,-0.01,0.03,0.03,4.2
"146","DeAndre Carter","WR","PHI",2,2,21,7,14,0,3.5,3,0.01,0.01,0.02,4.1
"147","Rishard Matthews","UNK","TEN",6,3,11,20,5,0,3.3,0.55,0.04,0.07,0.13,4.1
"148","Terrance Williams","WR","DAL",3,2,18,27,6,0,9,0.67,0.06,0.05,0.12,3.8
"149","Vyncint Smith","WR","HOU",4,1,28,165,1,0,41.2,0.17,0.18,0.05,0.21,3.8
"150","J.J. Nelson","WR","ARI",5,2,13,84,17,0,16.8,0.15,0.1,0.05,0.14,3.3
"151","Hakeem Valles","UNK","DET",3,2,11,25,1,0,8.3,0.44,0.04,0.04,0.08,3.1
"152","Travis Benjamin","WR","LAC",5,1,2,146,9,0,29.2,0.01,0.2,0.06,0.23,3.1
"153","T.J. Jones","WR","DET",5,2,10,32,2,0,6.4,0.31,0.05,0.06,0.12,3
"154","Jeremy Kerley","UNK","BUF",4,2,7,15,15,0,3.8,0.47,0.03,0.12,0.2,2.7
"155","KhaDarel Hodge","WR","LA",1,1,14,14,0,0,14,1,0.03,0.02,0.04,2.4
"156","Tim White","UNK","BAL",1,1,14,14,0,0,14,1,0.01,0.01,0.02,2.4
"157","Josh Malone","WR","CIN",4,1,12,21,0,0,5.2,0.57,0.03,0.05,0.09,2.2
"158","Sammie Coates","WR","HOU",2,1,12,9,5,0,4.5,1.33,0.01,0.03,0.05,2.2
"159","Robert Foster","WR","BUF",8,1,11,253,16,0,31.6,0.04,0.2,0.07,0.24,2.1
"160","J'Mon Moore","WR","GB",1,1,10,4,6,0,4,2.5,0.01,0.02,0.04,2
"161","Victor Bolden","WR","SF",4,1,10,47,1,0,11.8,0.21,0.19,0.07,0.24,2
"162","Russell Gage","WR","ATL",1,1,9,2,7,0,2,4.5,0.01,0.02,0.04,1.9
"163","Brandon Wilds","UNK","JAC",0,0,0,43,0,0,Inf,0,0.04,0,0.03,1.7
"164","Marcus Kemp","WR","KC",1,1,7,-1,8,0,-1,-7,0,0.02,0.02,1.7
"165","Richie James","WR","SF",1,1,7,0,7,0,0,Inf,0,0.01,0.02,1.7
"166","Justin Hunter","WR","PIT",6,1,6,96,0,0,16,0.06,0.13,0.07,0.19,1.6
"167","Andre Roberts","WR","NYJ",2,1,4,-2,2,0,-1,-2,0,0.01,0.02,1.6
"168","Khari Lee","UNK","BUF",1,1,5,-1,6,0,-1,-5,0,0.03,0.04,1.5
"169","Jonathan Williams","UNK","NO",1,1,1,1,0,0,1,1,0,0.01,0.01,1.1
"170","Christine Michael","UNK","IND",0,0,0,0,0,0,NA,NA,0,0,0,0.9
"171","Jeremy McNichols","UNK","IND",0,0,0,0,0,0,NA,NA,0,0,0,0.4
"172","Aaron Wallace","UNK","TEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"173","Brandon Tate","UNK","NO",0,0,0,0,0,0,NA,NA,0,0,0,0
"174","Brandon Zylstra","WR","MIN",0,0,0,0,0,0,NA,NA,0,0,0,0
"175","Cairo Santos","UNK","LA",0,0,0,0,0,0,NA,NA,0,0,0,0
"176","Cameron Batson","WR","TEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"177","Cody Core","WR","CIN",3,0,0,43,0,0,14.3,0,0.11,0.07,0.18,0
"178","Cole Wick","UNK","SF",1,0,0,1,0,0,1,0,0,0.01,0.02,0
"179","Damiere Byrd","WR","CAR",0,0,0,0,0,0,NA,NA,0,0,0,0
"180","Daniel Carlson","UNK","MIN",0,0,0,0,0,0,NA,NA,0,0,0,0
"181","Dean Marlowe","UNK","BUF",0,0,0,31,0,0,Inf,0,0.2,0,0.14,0
"182","Deante Burton","UNK","ATL",0,0,0,10,0,0,Inf,0,0.03,0,0.02,0
"183","Deatrick Nichols","UNK","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"184","Dee Virgin","UNK","DET",0,0,0,0,0,0,NA,NA,0,0,0,0
"185","Derrick Johnson","UNK","OAK",0,0,0,31,0,0,Inf,0,0.03,0,0.02,0
"186","Destiny Vaeao","UNK","PHI",0,0,0,17,0,0,Inf,0,0.03,0,0.02,0
"187","Detrez Newsome","UNK","LAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"188","Donte' Deayon","UNK","NYG",0,0,0,52,0,0,Inf,0,0.07,0,0.05,0
"189","Drew Kaser","UNK","LAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"190","Freddie Martino","UNK","TB",0,0,0,0,0,0,NA,NA,0,0,0,0
"191","Garrison Smith","UNK","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"192","Geremy Davis","WR","LAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"193","Isaiah Johnson","UNK","LA",0,0,0,0,0,0,NA,NA,0,0,0,0
"194","Jacquies Smith","UNK","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"195","James Burgess","UNK","CLE",0,0,0,6,0,0,Inf,0,0.01,0,0,0
"196","Janarion Grant","UNK","BAL",0,0,0,0,0,0,NA,NA,0,0,0,0
"197","Javon Wims","WR","CHI",1,0,0,4,0,0,4,0,0.01,0.04,0.07,0
"198","Jaydon Mickens","WR","JAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"199","Jehu Chesson","UNK","WAS",1,0,0,15,0,0,15,0,0.05,0.02,0.06,0
"200","Jerel Worthy","UNK","TB",0,0,0,0,0,0,NA,NA,0,0,0,0
"201","Jeremiah McKinnon","UNK","CLE",0,0,0,0,0,0,NA,NA,0,0,0,0
"202","J.J. Jones","UNK","LAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"203","J.J. Wilcox","UNK","NYJ",0,0,0,3,0,0,Inf,0,0,0,0,0
"204","JoJo Natson","WR","LA",0,0,0,0,0,0,NA,NA,0,0,0,0
"205","Justin Watson","WR","TB",0,0,0,0,0,0,NA,NA,0,0,0,0
"206","Kaelin Clay","UNK","NYG",0,0,0,0,0,0,NA,NA,0,0,0,0
"207","Keon Hatcher","UNK","OAK",0,0,0,0,0,0,NA,NA,0,0,0,0
"208","Lorenzo Doss","UNK","CAR",0,0,0,0,0,0,NA,NA,0,0,0,0
"209","Marquis Flowers","UNK","DET",0,0,0,0,0,0,NA,NA,0,0,0,0
"210","Matthew Slater","WR","NE",0,0,0,0,0,0,NA,NA,0,0,0,0
"211","Maurice Smith","UNK","MIA",0,0,0,50,0,0,Inf,0,0.21,0,0.14,0
"212","Michael Floyd","WR","WAS",1,0,0,11,0,0,11,0,0.04,0.03,0.07,0
"213","Mike Wallace","WR","PHI",3,0,0,109,0,0,36.3,0,0.32,0.09,0.36,0
"214","Nick Williams","WR","TEN",1,0,0,27,0,0,27,0,0.05,0.01,0.05,0
"215","Pharoh Cooper","WR","LA",0,0,0,0,0,0,NA,NA,0,0,0,0
"216","Riley McCarron","UNK","NE",1,0,0,27,0,0,27,0,0.07,0.03,0.09,0
"217","Sam Ficken","UNK","LA",0,0,0,0,0,0,NA,NA,0,0,0,0
"218","Skai Moore","UNK","IND",0,0,0,0,0,0,NA,NA,0,0,0,0
"219","Stacy Coley","UNK","MIN",1,0,0,9,0,0,9,0,0.03,0.02,0.05,0
"220","Stacy Coley","UNK","NYG",0,0,0,0,0,0,NA,NA,0,0,0,0
"221","Tank Carradine","UNK","OAK",0,0,0,0,0,0,NA,NA,0,0,0,0
"222","Tommylee Lewis","WR","NO",0,0,0,0,0,0,NA,NA,0,0,0,0
"223","Tra Carson","UNK","CIN",0,0,0,0,0,0,NA,NA,0,0,0,0
"224","Trey Quinn","WR","WAS",0,0,0,0,0,0,NA,NA,0,0,0,0
"225","Tyvis Powell","UNK","SF",0,0,0,0,0,0,NA,NA,0,0,0,0
"226","Vontae Davis","UNK","BUF",0,0,0,-3,0,0,-Inf,0,-0.01,0,-0.01,0
"227","Zane Gonzalez","UNK","CLE",0,0,0,0,0,0,NA,NA,0,0,0,0
"228","Ziggy Hood","UNK","WAS",0,0,0,0,0,0,NA,NA,0,0,0,0
"229","Rod Streater","WR","CLE",0,0,0,0,0,0,NA,NA,0,0,0,-1.1
