"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"60","Leonard Fournette","RB","JAC",12,8,68,7,81,0,0.6,9.71,0.02,0.18,0.28,26.1
"61","Adam Thielen","WR","MIN",11,8,118,164,21,1,14.9,0.72,0.42,0.26,0.69,25.8
"62","Christian Kirk","WR","ARI",20,10,146,203,74,0,10.2,0.72,0.23,0.21,0.48,25.8
"63","Zach Ertz","TE","PHI",23,13,126,181,33,0,7.9,0.7,0.23,0.26,0.56,25.6
"64","Randall Cobb","WR","DAL",11,9,93,55,63,1,5,1.69,0.1,0.18,0.34,25.4
"65","Allen Robinson","WR","CHI",20,11,143,220,30,0,11,0.65,0.39,0.28,0.69,25.3
"66","Davante Adams","WR","GB",17,11,142,190,41,0,11.2,0.75,0.33,0.27,0.63,25.2
"67","James White","RB","NE",11,8,75,23,73,1,2.1,3.26,0.04,0.17,0.28,25.1
"68","Deebo Samuel","WR","SF",10,8,103,27,88,1,2.7,3.81,0.08,0.19,0.34,25
"69","Kerryon Johnson","RB","DET",5,4,60,13,56,1,2.6,4.62,0.02,0.07,0.11,25
"70","Chris Thompson","RB","WAS",18,12,116,22,91,0,1.2,5.27,0.04,0.22,0.36,24.9
"71","Greg Olsen","TE","CAR",18,10,146,176,50,0,9.8,0.83,0.23,0.2,0.46,24.6
"72","Julian Edelman","WR","NE",15,10,134,117,57,0,7.8,1.15,0.18,0.23,0.47,24.3
"73","Will Dissly","TE","SEA",7,6,62,66,16,2,9.4,0.94,0.15,0.13,0.29,24.2
"74","Austin Hooper","TE","ATL",15,13,111,72,52,0,4.8,1.54,0.09,0.17,0.32,24.1
"75","James Conner","RB","PIT",8,7,56,-8,59,0,-1,-7,-0.01,0.1,0.14,24
"76","Danny Amendola","WR","DET",14,7,104,128,43,1,9.1,0.81,0.15,0.19,0.39,23.4
"77","Jason Witten","TE","DAL",8,7,40,18,26,2,2.2,2.22,0.03,0.13,0.22,23
"78","Malcolm Brown","RB","LA",1,1,10,6,4,0,6,1.67,0.01,0.01,0.03,23
"79","Robert Woods","WR","LA",15,10,103,108,67,0,7.2,0.95,0.24,0.22,0.5,22.8
"80","Brandin Cooks","WR","LA",10,5,113,166,17,1,16.6,0.68,0.36,0.15,0.48,22.5
"81","Peyton Barber","RB","TB",5,3,19,12,17,0,2.4,1.58,0.02,0.08,0.14,22.4
"82","Rex Burkhead","RB","NE",10,7,88,39,53,0,3.9,2.26,0.06,0.15,0.27,22.3
"83","Royce Freeman","RB","DEN",8,6,53,17,42,0,2.1,3.12,0.03,0.1,0.17,22.3
"84","Alshon Jeffery","WR","PHI",7,5,49,56,10,1,8,0.88,0.16,0.18,0.38,22.1
"85","George Kittle","TE","SF",13,11,108,104,64,0,8,1.04,0.31,0.25,0.59,21.8
"86","Vernon Davis","TE","WAS",11,7,88,55,65,1,5,1.6,0.1,0.14,0.27,21.8
"87","Preston Williams","WR","MIA",11,7,87,167,12,1,15.2,0.52,0.19,0.15,0.36,21.7
"88","Cole Beasley","WR","BUF",13,9,123,110,53,0,8.5,1.12,0.19,0.19,0.42,21.3
"89","Phillip Lindsay","RB","DEN",13,8,53,-9,54,0,-0.7,-5.89,-0.02,0.16,0.23,21.2
"90","Bennie Fowler","WR","NYG",15,10,91,185,15,0,12.3,0.49,0.27,0.16,0.43,21.1
"91","Trey Quinn","WR","WAS",13,8,69,69,26,1,5.3,1,0.13,0.16,0.33,20.9
"92","Curtis Samuel","WR","CAR",17,8,123,259,52,0,15.2,0.47,0.33,0.19,0.52,20.5
"93","Josh Gordon","WR","NE",9,5,92,112,31,1,12.4,0.82,0.18,0.14,0.33,20.2
"94","David Montgomery","RB","CHI",4,2,33,55,14,0,13.8,0.6,0.1,0.06,0.15,19.3
"95","Marvin Jones","WR","DET",10,9,99,143,7,0,14.3,0.69,0.17,0.13,0.32,19.3
"96","Damiere Byrd","WR","ARI",14,10,87,106,26,0,7.6,0.82,0.12,0.15,0.31,18.7
"97","A.J. Brown","WR","TEN",9,6,125,79,64,0,8.8,1.58,0.27,0.17,0.45,18.5
"98","Carlos Hyde","RB","HOU",1,1,2,-2,4,0,-2,-1,0,0.02,0.02,18.5
"99","Kenny Stills","WR","HOU",6,5,75,70,15,1,11.7,1.07,0.1,0.1,0.22,18.5
"100","Tre'Quan Smith","WR","NO",5,5,75,37,38,1,7.4,2.03,0.07,0.06,0.14,18.5
"101","Marquise Goodwin","WR","SF",6,4,84,91,18,1,15.2,0.92,0.27,0.11,0.36,18.4
"102","Frank Gore","RB","BUF",2,2,15,1,14,0,0.5,15,0,0.03,0.05,18.3
"103","Paul Richardson","WR","WAS",10,7,52,86,9,1,8.6,0.6,0.16,0.12,0.3,18.2
"104","Matt Breida","RB","SF",2,1,11,3,11,0,1.5,3.67,0.01,0.04,0.06,17.9
"105","Jarvis Landry","WR","CLE",14,7,99,160,21,0,11.4,0.62,0.23,0.19,0.45,17.9
"106","Stefon Diggs","WR","MIN",9,3,86,188,12,1,20.9,0.46,0.49,0.21,0.66,17.6
"107","Tyler Eifert","TE","CIN",10,8,36,47,10,1,4.7,0.77,0.08,0.11,0.22,17.6
"108","Robby Anderson","WR","NYJ",13,7,104,216,5,0,16.6,0.48,0.56,0.18,0.66,17.4
"109","Tarik Cohen","RB","CHI",15,10,56,76,38,0,5.1,0.74,0.14,0.21,0.41,17.4
"110","Ted Ginn","WR","NO",7,7,101,89,12,0,12.7,1.13,0.3,0.16,0.46,17.1
"111","Will Fuller","WR","HOU",10,6,109,243,11,0,24.3,0.45,0.35,0.17,0.5,16.9
"112","Jamaal Williams","RB","GB",6,5,28,-18,44,1,-3,-1.56,-0.03,0.09,0.12,16.6
"113","Cody Latimer","WR","NYG",12,6,104,184,19,0,15.3,0.57,0.27,0.13,0.38,16.4
"114","Devin Smith","WR","DAL",3,3,74,56,18,1,18.7,1.32,0.22,0.1,0.3,16.4
"115","Mohamed Sanu","WR","ATL",13,9,73,71,47,0,5.5,1.03,0.09,0.15,0.28,16.3
"116","Mike Williams","WR","LAC",8,5,112,128,10,0,16,0.88,0.21,0.11,0.32,16.2
"117","Blake Jarwin","TE","DAL",4,4,61,48,13,1,12,1.27,0.09,0.06,0.16,16.1
"118","Duke Johnson","RB","HOU",6,4,33,27,29,0,4.5,1.22,0.04,0.1,0.18,16.1
"119","Mecole Hardman","WR","KC",7,4,61,82,18,1,11.7,0.74,0.11,0.09,0.21,16.1
"120","Tyler Higbee","TE","LA",8,6,41,54,24,1,6.8,0.76,0.12,0.12,0.26,16.1
"121","Latavius Murray","RB","NO",4,3,20,-7,34,0,-1.8,-2.86,-0.01,0.05,0.07,16
"122","Sony Michel","RB","NE",0,0,0,0,0,0,NA,NA,0,0,0,15.7
"123","LeSean McCoy","RB","KC",4,4,12,-8,20,0,-2,-1.5,-0.01,0.05,0.07,15.6
"124","Dede Westbrook","WR","JAC",11,6,33,34,22,1,3.1,0.97,0.08,0.17,0.31,15.5
"125","Devonta Freeman","RB","ATL",8,6,54,17,41,0,2.1,3.18,0.02,0.09,0.15,15.5
"126","Jeff Wilson","RB","SF",0,0,0,0,0,0,NA,NA,0,0,0,15.4
"127","Rashaad Penny","RB","SEA",1,1,3,-5,8,0,-5,-0.6,-0.01,0.02,0.02,15.3
"128","Mike Evans","WR","TB",13,6,89,234,7,0,18,0.38,0.37,0.21,0.58,14.9
"129","Justin Jackson","RB","LAC",4,2,9,-2,15,0,-0.5,-4.5,0,0.06,0.08,14.5
"130","Kenyan Drake","RB","MIA",9,7,44,46,28,0,5.1,0.96,0.05,0.13,0.23,14.5
"131","Hayden Hurst","TE","BAL",4,4,42,26,16,1,6.5,1.62,0.04,0.06,0.12,14.2
"132","Marquez Valdes-Scantling","WR","GB",11,7,71,143,4,0,13,0.5,0.25,0.17,0.43,14.1
"133","James O'Shaughnessy","TE","JAC",9,8,60,24,41,0,2.7,2.5,0.06,0.14,0.24,14
"134","David Njoku","TE","CLE",7,4,37,41,19,1,5.9,0.9,0.06,0.1,0.19,13.7
"135","KeeSean Johnson","WR","ARI",12,6,77,158,4,0,13.2,0.49,0.18,0.13,0.32,13.7
"136","D'Ernest Johnson","RB","CLE",6,5,65,33,38,0,5.5,1.97,0.05,0.08,0.16,13.6
"137","Willie Snead","WR","BAL",4,3,46,50,1,1,12.5,0.92,0.08,0.06,0.15,13.6
"138","Eric Ebron","TE","IND",7,4,33,38,16,1,5.4,0.87,0.12,0.13,0.28,13.3
"139","Wayne Gallman","RB","NYG",4,3,24,3,24,0,0.8,8,0,0.04,0.07,13.1
"140","T.J. Jones","WR","NYG",4,3,38,30,23,1,7.5,1.27,0.08,0.09,0.19,12.8
"141","Richie James","WR","SF",6,2,46,81,12,1,13.5,0.57,0.24,0.11,0.34,12.6
"142","Geronimo Allison","WR","GB",4,4,25,9,16,1,2.2,2.78,0.03,0.12,0.2,12.5
"143","Isaiah McKenzie","WR","BUF",2,2,40,17,23,1,8.5,2.35,0.06,0.07,0.14,12.4
"144","Jimmy Graham","TE","GB",6,3,30,69,9,1,11.5,0.43,0.12,0.09,0.22,12
"145","Darren Sproles","RB","PHI",6,5,21,1,22,0,0.2,21,0,0.07,0.1,11.8
"146","Noah Fant","TE","DEN",8,6,62,70,13,0,8.8,0.89,0.14,0.1,0.25,11.7
"147","Ito Smith","RB","ATL",4,3,22,5,22,0,1.2,4.4,0.01,0.04,0.07,11.5
"148","James Washington","WR","PIT",9,4,74,199,17,0,22.1,0.37,0.27,0.11,0.36,11.4
"149","Adrian Peterson","RB","WAS",2,2,7,1,6,0,0.5,7,0,0.05,0.08,11.2
"150","Ronald Jones","RB","TB",1,1,18,-1,19,0,-1,-18,0,0.02,0.02,11.2
"151","Jordan Howard","RB","PHI",4,3,19,1,14,0,0.2,19,0,0.05,0.07,11.1
"152","Damion Ratley","WR","CLE",5,4,67,43,24,0,8.6,1.56,0.06,0.07,0.15,10.7
"153","Giovani Bernard","RB","CIN",6,3,49,-5,52,0,-0.8,-9.8,-0.01,0.06,0.09,10.6
"154","C.J. Uzomah","TE","CIN",5,4,66,16,50,0,3.2,4.12,0.04,0.1,0.18,10.6
"155","DeVante Parker","WR","MIA",14,3,75,310,0,0,22.1,0.24,0.35,0.2,0.54,10.5
"156","Miles Sanders","RB","PHI",6,4,11,0,18,0,0,Inf,0,0.07,0.1,10.4
"157","Hunter Renfrow","WR","OAK",11,6,43,62,22,0,5.6,0.69,0.13,0.17,0.35,10.3
"158","Jared Cook","TE","NO",10,4,62,107,23,0,10.7,0.58,0.2,0.13,0.33,10.2
"159","Sterling Shepard","WR","NYG",7,6,42,21,31,0,3,2,0.07,0.15,0.27,10.2
"160","Geoff Swaim","TE","JAC",8,7,31,24,24,0,3,1.29,0.06,0.12,0.22,10.1
"161","Hunter Henry","TE","LAC",5,4,60,54,21,0,10.8,1.11,0.24,0.15,0.39,10
"162","Mack Hollins","WR","PHI",8,5,50,93,18,0,11.6,0.54,0.22,0.17,0.4,10
"163","Parris Campbell","WR","IND",2,2,13,8,5,1,4,1.62,0.03,0.04,0.07,10
"164","Ryan Switzer","WR","PIT",10,7,29,19,17,0,1.9,1.53,0.03,0.12,0.2,9.9
"165","Mike Davis","RB","CHI",7,6,17,3,25,0,0.4,5.67,0.01,0.1,0.15,9.7
"166","Jordan Wilkins","RB","IND",1,1,4,0,4,0,0,Inf,0,0.04,0.05,9.6
"167","Miles Boykin","WR","BAL",4,2,16,39,5,1,9.8,0.41,0.06,0.06,0.14,9.6
"168","Joe Mixon","RB","CIN",8,5,17,-8,25,0,-1,-2.12,-0.01,0.09,0.12,9.4
"169","Alex Erickson","WR","CIN",7,5,42,37,5,0,5.3,1.14,0.06,0.08,0.16,9.2
"170","Dare Ogunbowale","RB","TB",6,5,42,14,32,0,2.3,3,0.02,0.1,0.16,9.2
"171","Chad Beebe","WR","MIN",2,2,70,4,66,0,2,17.5,0.01,0.05,0.08,9
"172","Dontrell Hilliard","RB","CLE",2,1,14,7,10,0,3.5,2,0.02,0.05,0.09,8.8
"173","Malik Turner","WR","SEA",3,3,54,23,31,0,7.7,2.35,0.09,0.09,0.19,8.4
"174","Diontae Johnson","WR","PIT",9,4,42,87,24,0,9.7,0.48,0.12,0.11,0.25,8.2
"175","Nyheim Hines","RB","IND",6,5,9,-15,27,0,-2.5,-0.6,-0.05,0.11,0.13,8.1
"176","Justin Hardy","WR","ATL",6,4,41,60,18,0,10,0.68,0.08,0.07,0.16,8.1
"177","Nick Boyle","TE","BAL",6,4,40,34,19,0,5.7,1.18,0.05,0.1,0.18,8
"178","Taylor Gabriel","WR","CHI",7,3,35,70,15,0,10,0.5,0.12,0.1,0.23,7.9
"179","Damion Willis","WR","CIN",8,4,36,63,5,0,7.9,0.57,0.11,0.09,0.2,7.6
"180","Tevin Coleman","RB","SF",3,2,33,4,32,0,1.3,8.25,0.02,0.11,0.18,7.6
"181","Alexander Mattison","RB","MIN",0,0,0,0,0,0,NA,NA,0,0,0,7.4
"182","Ty Montgomery","RB","NYJ",3,3,15,3,12,0,1,5,0.01,0.04,0.07,7.4
"183","Jesse James","TE","DET",5,4,33,32,25,0,6.4,1.03,0.04,0.07,0.13,7.3
"184","Jordan Akins","TE","HOU",5,3,42,25,22,0,5,1.68,0.04,0.08,0.15,7.2
"185","Mike Gesicki","TE","MIA",8,3,42,69,17,0,8.6,0.61,0.08,0.11,0.22,7.2
"186","O.J. Howard","TE","TB",5,4,32,29,8,0,5.8,1.1,0.05,0.08,0.16,7.2
"187","Jack Doyle","TE","IND",5,3,41,22,31,0,4.4,1.86,0.07,0.09,0.19,7.1
"188","Adam Shaheen","TE","CHI",5,4,30,18,18,0,3.6,1.67,0.03,0.07,0.13,7
"189","Corey Davis","WR","TEN",8,3,38,79,19,0,9.9,0.48,0.27,0.15,0.42,6.8
"190","Derrius Guice","RB","WAS",3,3,20,-1,21,0,-0.3,-20,0,0.07,0.1,6.8
"191","Gerald Everett","TE","LA",5,4,28,6,21,0,1.2,4.67,0.01,0.07,0.12,6.8
"192","Gus Edwards","RB","BAL",0,0,0,0,0,0,NA,NA,0,0,0,6.7
"193","Dion Lewis","RB","TEN",5,4,11,-13,20,0,-2.6,-0.85,-0.04,0.1,0.11,6.7
"194","Rashard Higgins","WR","CLE",3,2,46,48,9,0,16,0.96,0.14,0.08,0.22,6.6
"195","DeAndre Washington","RB","OAK",2,2,26,17,17,0,8.5,1.53,0.04,0.03,0.07,6.3
"196","Derek Carrier","TE","OAK",5,3,33,48,18,0,9.6,0.69,0.19,0.13,0.33,6.3
"197","Devin Funchess","WR","IND",5,3,32,49,6,0,9.8,0.65,0.29,0.19,0.48,6.2
"198","Ty Johnson","RB","DET",2,2,6,5,1,0,2.5,1.2,0.01,0.03,0.04,6.2
"199","Zay Jones","WR","BUF",7,3,32,77,3,0,11,0.42,0.13,0.1,0.25,6.2
"200","Cordarrelle Patterson","WR","CHI",3,1,3,30,5,0,10,0.1,0.05,0.04,0.1,6.1
"201","Jeff Heuerman","TE","DEN",5,4,21,17,13,0,3.4,1.24,0.07,0.1,0.2,6.1
"202","DaeSean Hamilton","WR","DEN",10,4,20,69,8,0,6.9,0.29,0.14,0.12,0.28,6
"203","Jarius Wright","WR","CAR",7,3,29,86,10,0,12.3,0.34,0.11,0.08,0.2,5.9
"204","Nick Vannett","TE","SEA",3,3,29,26,3,0,8.7,1.12,0.06,0.05,0.12,5.9
"205","Tony Pollard","RB","DAL",1,1,3,2,1,0,2,1.5,0,0.02,0.03,5.9
"206","Cameron Brate","TE","TB",4,4,18,9,9,0,2.2,2,0.01,0.07,0.11,5.8
"207","Cody Core","WR","NYG",5,3,28,32,3,0,6.4,0.88,0.05,0.05,0.11,5.8
"208","Jaylen Samuels","RB","PIT",3,2,15,-2,21,0,-0.7,-7.5,0,0.04,0.05,5.7
"209","Maxx Williams","TE","ARI",2,2,36,22,14,0,11,1.64,0.02,0.02,0.05,5.6
"210","Allen Hurns","WR","MIA",4,2,35,94,2,0,23.5,0.37,0.11,0.06,0.16,5.5
"211","Deon Cain","WR","IND",3,2,35,41,3,0,13.7,0.85,0.13,0.05,0.18,5.5
"212","Jakeem Grant","WR","MIA",11,4,19,149,24,0,13.5,0.13,0.17,0.15,0.35,5.5
"213","Tommy Sweeney","TE","BUF",3,2,35,25,11,0,8.3,1.4,0.04,0.04,0.1,5.5
"214","Chester Rogers","WR","IND",4,3,24,6,29,0,1.5,4,0.02,0.07,0.12,5.4
"215","Ryan Grant","WR","OAK",9,4,14,35,5,0,3.9,0.4,0.08,0.14,0.26,5.4
"216","Dontrelle Inman","WR","LAC",3,2,33,29,11,0,9.7,1.14,0.05,0.04,0.1,5.3
"217","Matt LaCosse","TE","NE",2,2,33,22,11,0,11,1.5,0.08,0.07,0.17,5.3
"218","Justice Hill","RB","BAL",2,1,10,17,11,0,8.5,0.59,0.03,0.03,0.07,5.1
"219","Kelvin Harmon","WR","WAS",2,2,31,26,5,0,13,1.19,0.08,0.05,0.12,5.1
"220","C.J. Prosise","RB","SEA",3,3,13,3,10,0,1,4.33,0.01,0.09,0.14,5
"221","J.D. McKissic","RB","DET",2,2,24,1,23,0,0.5,24,0,0.03,0.04,4.6
"222","Drew Sample","TE","CIN",3,2,25,38,12,0,12.7,0.66,0.06,0.03,0.09,4.5
"223","Ben Braunecker","TE","CHI",3,2,24,22,16,0,7.3,1.09,0.12,0.11,0.25,4.4
"224","Kalen Ballage","RB","MIA",6,2,19,18,19,0,3,1.06,0.02,0.08,0.14,4.4
"225","Tajae Sharpe","WR","TEN",4,2,24,48,0,0,12,0.5,0.16,0.08,0.23,4.4
"226","Patrick DiMarco","RB","BUF",3,3,12,10,2,0,3.3,1.2,0.02,0.04,0.08,4.3
"227","Chase Edmonds","RB","ARI",3,2,15,5,19,0,1.7,3,0.01,0.03,0.05,4.2
"228","Tyreek Hill","WR","KC",2,2,16,16,0,0,8,1,0.09,0.06,0.15,4.1
"229","Foster Moreau","TE","OAK",2,2,20,7,13,0,3.5,2.86,0.03,0.08,0.14,4
"230","Josh Bellamy","WR","NYJ",3,2,20,23,10,0,7.7,0.87,0.06,0.04,0.1,4
"231","Ryan Griffin","TE","NYJ",5,3,10,8,12,0,1.6,1.25,0.02,0.07,0.12,4
"232","Dawson Knox","TE","BUF",6,2,19,31,2,0,5.2,0.61,0.05,0.09,0.17,3.9
"233","Jeremy Sprinkle","TE","WAS",2,2,19,7,12,0,3.5,2.71,0.01,0.02,0.05,3.9
"234","Kyle Rudolph","TE","MIN",5,3,9,18,8,0,3.6,0.5,0.05,0.12,0.21,3.9
"235","Russell Shepard","WR","NYG",3,2,19,14,13,0,4.7,1.36,0.04,0.07,0.13,3.9
"236","Mark Walton","RB","MIA",2,1,12,9,7,0,4.5,1.33,0.01,0.03,0.05,3.8
"237","Robert Tonyan","TE","GB",1,1,28,19,9,0,19,1.47,0.06,0.03,0.09,3.8
"238","Trevor Davis","WR","GB",1,1,28,18,10,0,18,1.56,0.03,0.02,0.05,3.8
"239","Donte Moncrief","WR","PIT",11,3,7,111,3,0,10.1,0.06,0.15,0.14,0.31,3.7
"240","Dallas Goedert","TE","PHI",3,2,16,37,10,0,12.3,0.43,0.11,0.08,0.19,3.6
"241","Rhett Ellison","TE","NYG",3,2,16,36,9,0,12,0.44,0.05,0.03,0.09,3.6
"242","Adam Humphries","WR","TEN",3,3,4,-1,5,0,-0.3,-4,0,0.06,0.08,3.5
"243","Albert Wilson","WR","MIA",4,2,13,0,8,0,0,Inf,0,0.12,0.19,3.4
"244","Durham Smythe","TE","MIA",1,1,24,24,0,0,24,1,0.05,0.03,0.07,3.4
"245","Marcedes Lewis","TE","GB",4,2,14,37,8,0,9.2,0.38,0.06,0.06,0.14,3.4
"246","Kendrick Bourne","WR","SF",5,2,13,47,7,0,9.4,0.28,0.14,0.09,0.24,3.3
"247","Michael Crabtree","WR","ARI",3,2,13,20,2,0,6.7,0.65,0.06,0.08,0.16,3.3
"248","Virgil Green","TE","LAC",3,2,13,8,9,0,2.7,1.62,0.01,0.04,0.07,3.3
"249","Wendell Smallwood","RB","WAS",2,2,9,4,5,0,2,2.25,0.02,0.05,0.09,3.3
"250","Jakobi Meyers","WR","NE",1,1,22,17,5,0,17,1.29,0.05,0.03,0.07,3.2
"251","Travis Benjamin","WR","LAC",5,2,12,54,15,0,10.8,0.22,0.09,0.07,0.17,3.2
"252","Charles Clay","TE","ARI",3,2,11,7,6,0,2.3,1.57,0.01,0.03,0.05,3.1
"253","Breshad Perriman","WR","TB",9,2,10,125,0,0,13.9,0.08,0.2,0.15,0.36,3
"254","Steven Sims","WR","WAS",1,1,3,-3,6,0,-3,-1,-0.01,0.01,0.01,2.9
"255","Jalen Richard","RB","OAK",3,2,2,1,5,0,0.3,2,0,0.05,0.07,2.8
"256","Jonnu Smith","TE","TEN",1,1,7,2,5,0,2,3.5,0.01,0.04,0.07,2.7
"257","Keke Coutee","WR","HOU",4,2,7,33,3,0,8.2,0.21,0.09,0.14,0.27,2.7
"258","Anthony Sherman","RB","KC",1,1,15,-4,19,0,-4,-3.75,-0.01,0.01,0.02,2.5
"259","Trey Burton","TE","CHI",3,2,5,2,2,0,0.7,2.5,0.01,0.11,0.17,2.5
