NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 10 GAMES	LAST YR % OVER	OVER	UNDER
David Pastrnak	BOS	-295	H	g	0.5	0.7	0.77 - 0.45	0.67 - 0.73	57%	60%	1,1,0,0,1,0,1,1,1,0	37%	-135	0
Brayden Point	TB	-255	A	g	0.5	0.61	0.71 - 0.45	0.41 - 0.78	48%	0%	0,0,0,0,0,2,2,0,0,1	36%	-120	0
Auston Matthews	TOR	-120	A	g	0.5	0.52	0.67 - 0.32	0.4 - 0.62	47%	60%	0,1,0,1,1,1,0,0,0,2	54%	-115	0
Jason Robertson	DAL	-165	H	g	0.5	0.59	0.71 - 0.43	0.44 - 0.74	46%	40%	2,0,0,1,0,0,1,2,0,0	37%	'+105	0
Denis Gurianov	MTL	'+215	H	g	0.5	0.45	0.46 - 0.38	0.43 - 0.5	45%	80%	1,0,1,1,1,0,0,0,0,1	0%	'+265	0
William Nylander	TOR	-120	A	g	0.5	0.51	0.58 - 0.38	0.34 - 0.65	45%	40%	0,0,0,1,1,0,0,0,0,0	35%	'+150	0
Alex Ovechkin	WSH	-245	H	g	0.5	0.6	0.84 - 0.41	0.62 - 0.58	43%	40%	2,0,1,0,0,1,2,0,1,0	52%	-125	0
Elias Pettersson	VAN	'+115	H	g	0.5	0.49	0.75 - 0.27	0.51 - 0.47	42%	60%	1,1,1,0,0,0,1,1,0,0	33%	'+115	0
Jack Hughes	NJ	-175	H	g	0.5	0.56	0.71 - 0.36	0.59 - 0.53	42%	20%	0,0,0,0,1,0,0,0,0,0	46%	'+110	0
Tage Thompson	BUF	-150	H	g	0.5	0.61	1.01 - 0.26	0.65 - 0.57	42%	0%	0,0,0,0,0,0,0,0,1,0	38%	-110	0
Tim Stutzle	OTT	'+245	A	g	0.5	0.53	0.7 - 0.32	0.41 - 0.65	41%	60%	0,1,0,2,1,0,0,0,2,1	24%	'+200	0
Nico Hischier	NJ	-175	H	g	0.5	0.43	0.52 - 0.29	0.5 - 0.37	41%	40%	1,1,0,0,0,1,0,0,1,0	25%	'+180	0
Alex Tuch	BUF	-150	H	g	0.5	0.49	0.7 - 0.29	0.56 - 0.41	41%	40%	0,0,0,2,1,0,1,1,1,0	24%	'+135	0
Timo Meier	NJ	-175	H	g	0.5	0.52	0.48 - 0.49	0.53 - 0.5	41%	20%	0,0,2,0,0,0,0,0,1,0	35%	'+105	0
Mika Zibanejad	NYR	-115	H	g	0.5	0.53	0.78 - 0.19	0.47 - 0.58	40%	80%	1,1,1,2,0,0,0,0,0,1	33%	'+140	0
Andrei Kuzmenko	VAN	'+115	H	g	0.5	0.5	0.72 - 0.26	0.38 - 0.62	40%	60%	0,0,1,1,2,1,0,1,0,1	0%	'+160	0
Brendan Lemieux	PHI	'+145	H	g	0.5	0.4	0.0 - 0.6	1.0 - 0.25	40%	40%	1,0,0,1,0	0%	'+550	0
Jared Mccann	SEA	'+140	A	g	0.5	0.49	0.66 - 0.31	0.61 - 0.38	40%	20%	0,0,0,0,2,1,0,1,2,1	35%	'+155	0
Chris Kreider	NYR	-115	H	g	0.5	0.46	0.59 - 0.3	0.52 - 0.41	39%	80%	1,1,2,0,1,0,0,0,1,1	48%	'+165	0
Matthew Tkachuk	FLA	-170	A	g	0.5	0.49	0.68 - 0.32	0.44 - 0.55	39%	80%	1,1,1,2,0,0,0,0,0,0	41%	'+100	0
Carter Verhaeghe	FLA	-170	A	g	0.5	0.52	0.64 - 0.36	0.51 - 0.53	39%	40%	2,0,2,0,0,0,1,0,0,1	26%	'+100	0
Alex Chiasson	DET	'+120	A	g	0.5	0.38	0.44 - 0.27	0.5 - 0.25	38%	60%	0,0,1,1,1,0,0,0	0%	'+275	0
Martin Necas	CAR	-105	A	g	0.5	0.4	0.45 - 0.29	0.44 - 0.35	38%	40%	1,1,0,0,0,0,0,0,1,1	15%	'+195	0
Brady Tkachuk	OTT	'+245	A	g	0.5	0.43	0.63 - 0.23	0.37 - 0.49	37%	60%	0,2,1,1,0,0,0,0,0,0	32%	'+160	0
Jake Debrusk	BOS	-295	H	g	0.5	0.43	0.5 - 0.16	0.38 - 0.48	37%	60%	1,1,0,0,1,0,0,0,0,0	27%	'+140	0
Nick Schmaltz	ARI	'+250	A	g	0.5	0.41	0.7 - 0.25	0.25 - 0.56	37%	60%	0,0,1,1,1,0,0,1,1,1	27%	'+195	0
Eeli Tolvanen	SEA	'+140	A	g	0.5	0.37	0.5 - 0.19	0.26 - 0.5	37%	40%	1,0,1,0,0,1,0,0,0,0	14%	'+245	0
Jamie Benn	DAL	-165	H	g	0.5	0.41	0.45 - 0.33	0.42 - 0.41	37%	40%	0,0,1,1,0,1,1,0,1,0	20%	'+220	0
Roope Hintz	DAL	-165	H	g	0.5	0.52	0.63 - 0.35	0.39 - 0.65	37%	20%	0,0,0,0,1,1,1,0,3,1	35%	'+145	0
Mitchell Marner	TOR	-120	A	g	0.5	0.38	0.42 - 0.29	0.41 - 0.35	36%	60%	1,1,0,0,1,1,0,1,1,0	34%	'+200	0
Jordan Kyrou	STL	-140	H	g	0.5	0.47	0.78 - 0.21	0.65 - 0.31	36%	60%	0,1,0,1,3,0,0,0,1,0	33%	'+120	0
Jeff Skinner	BUF	-150	H	g	0.5	0.44	0.62 - 0.28	0.38 - 0.5	36%	20%	0,0,0,0,1,1,0,1,1,0	27%	'+145	0
Claude Giroux	OTT	'+245	A	g	0.5	0.4	0.46 - 0.35	0.37 - 0.43	36%	0%	0,0,0,0,0,1,1,0,0,1	25%	'+235	0
Patrice Bergeron	BOS	-295	H	g	0.5	0.38	0.47 - 0.12	0.36 - 0.39	35%	40%	1,1,0,0,0,1,0,1,1,0	31%	'+165	0
Nikita Kucherov	TB	-255	A	g	0.5	0.39	0.51 - 0.26	0.38 - 0.41	35%	40%	1,0,0,1,0,0,1,2,0,0	41%	'+140	0
Tyler Toffoli	CGY	-215	A	g	0.5	0.41	0.62 - 0.24	0.49 - 0.32	35%	40%	1,0,2,0,0,0,0,1,0,0	21%	'+155	0
John Tavares	TOR	-120	A	g	0.5	0.44	0.66 - 0.17	0.48 - 0.41	35%	20%	0,0,0,0,2,1,0,0,1,0	32%	'+175	0
Pavel Buchnevich	STL	-140	H	g	0.5	0.43	0.25 - 0.55	0.42 - 0.43	35%	20%	0,0,3,0,0,0,2,0,0,1	29%	'+165	0
Jack Eichel	VGK	-135	A	g	0.5	0.46	0.63 - 0.16	0.37 - 0.53	35%	20%	3,0,0,0,0,0,0,0,1,2	35%	'+130	0
Mark Scheifele	WPG	-300	H	g	0.5	0.54	0.77 - 0.24	0.53 - 0.54	35%	0%	0,0,0,0,0,2,0,0,1,1	35%	-110	0
Boone Jenner	CBJ	'+205	A	g	0.5	0.4	0.78 - 0.2	0.32 - 0.47	34%	60%	0,1,0,2,1,0,0,0,1,0	37%	'+200	0
Jt Miller	VAN	'+115	H	g	0.5	0.38	0.48 - 0.28	0.38 - 0.38	34%	60%	1,0,0,1,1,2,0,1,0,0	34%	'+195	0
Steven Stamkos	TB	-255	A	g	0.5	0.43	0.47 - 0.35	0.52 - 0.35	34%	40%	0,1,2,0,0,0,0,0,0,1	43%	'+105	0
Brock Nelson	NYI	'+100	H	g	0.5	0.42	0.66 - 0.16	0.53 - 0.31	34%	40%	0,2,0,0,1,0,0,0,1,0	39%	'+165	0
Dylan Larkin	DET	'+120	A	g	0.5	0.38	0.55 - 0.23	0.39 - 0.37	34%	40%	1,0,0,1,0,1,0,1,0,0	36%	'+155	0
Dylan Cozens	BUF	-150	H	g	0.5	0.38	0.58 - 0.19	0.42 - 0.34	34%	20%	0,0,0,1,0,0,1,1,0,0	15%	'+185	0
Clayton Keller	ARI	'+250	A	g	0.5	0.46	0.58 - 0.34	0.42 - 0.5	33%	80%	1,0,2,2,1,0,1,0,0,1	38%	'+180	0
Patrik Laine	CBJ	'+205	A	g	0.5	0.41	0.72 - 0.34	0.42 - 0.39	33%	40%	0,1,0,0,1,1,1,1,0,0	36%	'+170	0
Jesper Bratt	NJ	-175	H	g	0.5	0.43	0.55 - 0.27	0.49 - 0.37	33%	40%	3,0,0,0,2,0,0,0,0,1	29%	'+190	0
Brett Ritchie	ARI	'+250	A	g	0.5	0.33	0.42 - 0.0	0.0 - 0.4	33%	20%	0,0,0,1,0,1	0%	'+450	0
Pierre-Luc Dubois	WPG	-300	H	g	0.5	0.38	0.43 - 0.3	0.31 - 0.45	33%	0%	0,0,0,0,0,0,1,0,0,1	35%	'+130	0
Tom Wilson	WSH	-245	H	g	0.5	0.36	0.72 - 0.14	0.38 - 0.33	32%	20%	0,0,1,0,0,0,0,0,2,0	29%	'+190	0
Sam Reinhart	FLA	-170	A	g	0.5	0.37	0.47 - 0.25	0.31 - 0.43	31%	80%	0,2,1,1,1,0,0,0,0,0	33%	'+180	0
Brandon Hagel	TB	-255	A	g	0.5	0.38	0.54 - 0.1	0.29 - 0.46	31%	40%	0,3,0,1,0,1,0,0,0,0	22%	'+165	0
Josh Anderson	MTL	'+215	H	g	0.5	0.31	0.49 - 0.19	0.29 - 0.33	31%	40%	0,0,1,1,0,1,0,0,0,1	20%	'+220	0
Brad Marchand	BOS	-295	H	g	0.5	0.33	0.31 - 0.36	0.33 - 0.32	31%	0%	0,0,0,0,0,0,1,0,0,0	35%	'+140	0
Kirill Marchenko	CBJ	'+205	A	g	0.5	0.39	0.68 - 0.27	0.41 - 0.37	30%	40%	1,0,1,0,0,0,0,0,0,0	0%	'+220	0
Tj Oshie	WSH	-245	H	g	0.5	0.34	0.46 - 0.22	0.38 - 0.29	30%	40%	0,0,1,0,1,0,0,1,0,1	26%	'+145	0
Thomas Novak	NSH	'+130	A	g	0.5	0.35	0.53 - 0.06	0.47 - 0.22	30%	40%	0,0,0,1,2,1,0,0,0,0	4%	'+195	0
Nino Niederreiter	WPG	-300	H	g	0.5	0.33	0.4 - 0.26	0.42 - 0.24	30%	40%	0,0,0,1,1,0,1,1,0,0	29%	'+170	0
Troy Terry	ANA	'+185	H	g	0.5	0.32	0.41 - 0.25	0.3 - 0.33	30%	40%	0,1,0,1,0,1,0,0,1,1	42%	'+190	0
Joel Eriksson Ek	MIN	'+150	A	g	0.5	0.33	0.31 - 0.36	0.38 - 0.28	30%	20%	0,0,1,0,0,0,0,1,0,0	27%	'+215	0
Kyle Connor	WPG	-300	H	g	0.5	0.38	0.58 - 0.15	0.33 - 0.43	30%	0%	0,0,0,0,0,0,0,0,0,0	52%	'+105	0
Wyatt Johnston	DAL	-165	H	g	0.5	0.29	0.33 - 0.2	0.36 - 0.21	29%	80%	1,1,1,1,0,1,0,1,0,0	0%	'+300	0
Oskar Sundqvist	MIN	'+150	A	g	0.5	0.29	0.25 - 0.32	0.25 - 0.33	29%	40%	0,1,1,0,0,0,0	0%	'+425	0
Aleksander Barkov	FLA	-170	A	g	0.5	0.32	0.47 - 0.12	0.19 - 0.45	29%	20%	0,1,0,0,0,1,0,0,0,1	42%	'+150	0
Lawson Crouse	ARI	'+250	A	g	0.5	0.34	0.5 - 0.21	0.35 - 0.32	29%	20%	0,1,0,0,0,0,1,0,1,0	27%	'+265	0
John Hayden	SEA	'+140	A	g	0.5	0.29	0.0 - 0.52	0.5 - 0.2	29%	20%	0,0,0,1,0,1,0	0%	'+550	0
Trevor Zegras	ANA	'+185	H	g	0.5	0.31	0.3 - 0.32	0.27 - 0.36	29%	20%	0,1,0,0,0,0,1,0,1,0	24%	'+205	0
Nick Suzuki	MTL	'+215	H	g	0.5	0.3	0.36 - 0.27	0.33 - 0.26	29%	0%	0,0,0,0,0,0,0,0,1,0	25%	'+200	0
Alex Killorn	TB	-255	A	g	0.5	0.31	0.39 - 0.2	0.26 - 0.35	28%	60%	1,0,0,1,1,0,0,2,0,2	20%	'+255	0
Jonathan Marchessault	VGK	-135	A	g	0.5	0.34	0.44 - 0.21	0.37 - 0.32	28%	60%	0,0,1,1,1,0,0,0,2,0	35%	'+155	0
Mats Zuccarello	MIN	'+150	A	g	0.5	0.32	0.4 - 0.23	0.24 - 0.4	28%	40%	0,0,0,1,1,0,0,0,0,0	26%	'+215	0
Victor Olofsson	BUF	-150	H	g	0.5	0.39	0.53 - 0.23	0.28 - 0.49	28%	40%	0,2,0,1,0,0,0,0,0,0	23%	'+220	0
Sammy Blais	STL	-140	H	g	0.5	0.33	0.65 - 0.08	0.43 - 0.27	28%	40%	0,2,0,0,1,1,0,0,0,0	0%	'+330	0
Elias Lindholm	CGY	-215	A	g	0.5	0.29	0.45 - 0.15	0.22 - 0.36	28%	40%	0,1,0,0,1,0,0,1,0,0	43%	'+165	0
Anders Lee	NYI	'+100	H	g	0.5	0.37	0.51 - 0.21	0.39 - 0.34	28%	20%	0,0,0,0,2,0,2,0,0,0	31%	'+205	0
Brandon Saad	STL	-140	H	g	0.5	0.29	0.41 - 0.13	0.34 - 0.24	28%	20%	0,0,0,0,1,0,0,0,0,1	26%	'+215	0
Daniel Sprong	SEA	'+140	A	g	0.5	0.3	0.33 - 0.23	0.44 - 0.18	28%	20%	0,0,0,1,0,0,0,0,0,0	23%	'+300	0
Drake Batherson	OTT	'+245	A	g	0.5	0.3	0.42 - 0.15	0.2 - 0.4	27%	40%	1,0,1,0,0,0,0,0,0,0	27%	'+310	0
Reilly Smith	VGK	-135	A	g	0.5	0.33	0.43 - 0.2	0.39 - 0.27	27%	40%	0,1,0,0,1,0,0,1,0,1	26%	'+215	0
Rafael Harvey-Pinard	MTL	'+215	H	g	0.5	0.35	0.26 - 0.39	0.25 - 0.43	27%	20%	0,1,0,0,0,0,0,1,0,0	0%	'+265	0
Owen Tippett	PHI	'+145	H	g	0.5	0.33	0.53 - 0.2	0.28 - 0.38	27%	20%	0,3,0,0,0,0,0,1,0,1	16%	'+140	0
Dawson Mercer	NJ	-175	H	g	0.5	0.31	0.34 - 0.21	0.34 - 0.29	27%	0%	0,0,0,0,0,0,1,0,0,1	21%	'+220	0
Matt Duchene	NSH	'+130	A	g	0.5	0.28	0.46 - 0.12	0.2 - 0.38	27%	0%	0,0,0,0,0,0,0,0,0,1	39%	'+155	0
Matty Beniers	SEA	'+140	A	g	0.5	0.28	0.43 - 0.12	0.38 - 0.18	27%	0%	0,0,0,0,0,0,0,0,0,0	30%	'+245	0
Nazem Kadri	CGY	-215	A	g	0.5	0.3	0.49 - 0.14	0.27 - 0.32	27%	0%	0,0,0,0,0,0,0,0,0,0	37%	'+155	0
Artemi Panarin	NYR	-115	H	g	0.5	0.33	0.51 - 0.12	0.35 - 0.31	26%	40%	1,2,0,0,0,1,0,0,0,0	28%	'+245	0
Calle Jarnkrok	TOR	-120	A	g	0.5	0.27	0.3 - 0.2	0.39 - 0.18	26%	40%	2,0,0,1,0,1,0,1,0,0	14%	'+350	0
Filip Chytil	NYR	-115	H	g	0.5	0.29	0.38 - 0.2	0.19 - 0.39	26%	20%	1,0,0,0,0,0,0,0,0,0	16%	'+245	0
Vladimir Tarasenko	NYR	-115	H	g	0.5	0.26	0.25 - 0.26	0.18 - 0.38	26%	20%	0,1,0,0,0,0,0,0,1,1	0%	'+200	0
Alex Debrincat	OTT	'+245	A	g	0.5	0.3	0.58 - 0.04	0.26 - 0.34	26%	0%	0,0,0,0,0,0,1,0,0,0	44%	'+225	0
Bo Horvat	NYI	'+100	H	g	0.5	0.26	0.3 - 0.24	0.3 - 0.22	26%	0%	0,0,0,0,0,0,0,0,1,0	0%	'+140	0
Kyle Palmieri	NYI	'+100	H	g	0.5	0.27	0.37 - 0.16	0.29 - 0.25	25%	40%	1,1,0,0,0,0,1,0,0,0	19%	'+235	0
Jaden Schwartz	SEA	'+140	A	g	0.5	0.28	0.35 - 0.18	0.23 - 0.34	25%	40%	1,0,0,0,1,1,0,0,1,0	22%	'+300	0
John Leonard	NSH	'+130	A	g	0.5	0.25	0.41 - 0.0	0.25 - 0	25%	25%	0,0,0,1	0%	'+275	0
Roman Josi	NSH	'+130	A	g	0.5	0.27	0.42 - 0.14	0.26 - 0.27	25%	20%	0,1,0,0,0,0,0,0,0,0	29%	'+275	0
Anthony Beauvillier	VAN	'+115	H	g	0.5	0.35	0.54 - 0.12	0.4 - 0.3	25%	20%	0,0,0,1,0,0,0,0,0,2	0%	'+215	0
Lucas Raymond	DET	'+120	A	g	0.5	0.26	0.4 - 0.15	0.1 - 0.41	25%	0%	0,0,0,0,0,1,0,0,0,0	20%	'+220	0
Robby Fabbri	DET	'+120	A	g	0.5	0.25	0.43 - 0.06	0.29 - 0.21	25%	0%	0,0,0,0,0,0,0,0,0,0	27%	'+220	0
Matthew Boldy	MIN	'+150	A	g	0.5	0.31	0.38 - 0.23	0.29 - 0.33	24%	60%	3,0,0,1,1,0,0,1,0,0	25%	'+235	0
Zach Parise	NYI	'+100	H	g	0.5	0.25	0.41 - 0.09	0.17 - 0.34	24%	40%	1,1,0,0,0,0,1,0,0,0	16%	'+340	0
Shane Pinto	OTT	'+245	A	g	0.5	0.26	0.32 - 0.19	0.2 - 0.31	24%	20%	0,0,1,0,0,0,1,0,0,1	0%	'+390	0
Patrick Kane	NYR	-115	H	g	0.5	0.3	0.59 - 0.14	0.3 - 0.3	24%	20%	0,0,0,1,0,1,1,0,0,2	29%	'+180	0
Vincent Trocheck	NYR	-115	H	g	0.5	0.27	0.34 - 0.17	0.24 - 0.31	24%	0%	0,0,0,0,0,0,0,0,0,0	29%	'+295	0
Jordan Staal	CAR	-105	A	g	0.5	0.24	0.26 - 0.19	0.26 - 0.21	24%	0%	0,0,0,0,0,0,0,0,0,1	15%	'+320	0
Dominik Kubalik	DET	'+120	A	g	0.5	0.26	0.43 - 0.14	0.38 - 0.15	24%	0%	0,0,0,0,0,1,0,0,0,1	19%	'+200	0
Max Domi	DAL	-165	H	g	0.5	0.28	0.43 - 0.19	0.23 - 0.33	24%	0%	0,0,0,0,0,0,1,0,0,0	15%	'+220	0
Joe Pavelski	DAL	-165	H	g	0.5	0.27	0.38 - 0.17	0.36 - 0.18	23%	60%	1,0,0,1,1,1,0,1,0,0	28%	'+220	0
Pavel Zacha	BOS	-295	H	g	0.5	0.26	0.26 - 0.18	0.33 - 0.18	23%	40%	0,0,1,1,0,0,0,0,1,1	20%	'+275	0
Nikolaj Ehlers	WPG	-300	H	g	0.5	0.23	0.29 - 0.13	0.37 - 0.06	23%	40%	0,1,0,1,0,1,0,0,0,0	42%	'+140	0
Blake Coleman	CGY	-215	A	g	0.5	0.24	0.35 - 0.16	0.22 - 0.26	23%	40%	0,1,2,0,0,0,0,0,0,1	15%	'+300	0
Ross Colton	TB	-255	A	g	0.5	0.23	0.26 - 0.19	0.15 - 0.31	23%	20%	0,0,1,0,0,0,0,1,0,0	21%	'+300	0
Eetu Luostarinen	FLA	-170	A	g	0.5	0.23	0.28 - 0.17	0.17 - 0.29	23%	20%	0,0,0,0,1,0,1,0,1,0	12%	'+350	0
Brayden Schenn	STL	-140	H	g	0.5	0.26	0.43 - 0.13	0.29 - 0.23	23%	20%	0,1,0,0,0,0,0,0,1,0	28%	'+205	0
Mason Mctavish	ANA	'+185	H	g	0.5	0.27	0.41 - 0.19	0.1 - 0.43	23%	20%	0,0,0,2,0,0,0,1,0,0	22%	'+280	0
Dillon Dube	CGY	-215	A	g	0.5	0.25	0.37 - 0.16	0.3 - 0.21	23%	20%	0,0,1,0,0,0,0,0,0,0	17%	'+230	0
Dougie Hamilton	NJ	-175	H	g	0.5	0.26	0.38 - 0.07	0.17 - 0.34	23%	0%	0,0,0,0,0,0,0,0,0,0	15%	'+265	0
Scott Laughton	PHI	'+145	H	g	0.5	0.23	0.39 - 0.12	0.27 - 0.19	23%	0%	0,0,0,0,0,0,1,1,0,0	18%	'+300	0
Michael Bunting	TOR	-120	A	g	0.5	0.29	0.33 - 0.19	0.31 - 0.27	23%	0%	0,0,0,0,0,1,0,0,0,0	24%	'+255	0
Robert Thomas	STL	-140	H	g	0.5	0.24	0.37 - 0.13	0.25 - 0.24	23%	0%	0,0,0,0,0,1,0,1,0,1	23%	'+245	0
Brady Skjei	CAR	-105	A	g	0.5	0.22	0.24 - 0.17	0.24 - 0.21	22%	60%	1,1,1,0,0,0,1,0,0,0	8%	'+650	0
Marcus Johansson	MIN	'+150	A	g	0.5	0.22	0.25 - 0.19	0.19 - 0.24	22%	40%	0,1,0,0,1,0,0,0,0,0	15%	'+360	0
Paul Cotter	VGK	-135	A	g	0.5	0.25	0.36 - 0.03	0.2 - 0.31	22%	40%	1,0,0,0,1,0,0,0,0,0	33%	'+275	0
Johnny Gaudreau	CBJ	'+205	A	g	0.5	0.25	0.44 - 0.16	0.09 - 0.4	22%	20%	0,0,0,2,0,0,0,0,0,0	36%	'+255	0
Sam Bennett	FLA	-170	A	g	0.5	0.25	0.33 - 0.16	0.23 - 0.28	22%	20%	0,0,0,0,1,0,1,0,0,1	26%	'+260	0
Tyler Seguin	DAL	-165	H	g	0.5	0.26	0.31 - 0.19	0.29 - 0.24	22%	20%	0,0,0,0,2,0,0,1,0,0	25%	'+250	0
Nicholas Paul	TB	-255	A	g	0.5	0.25	0.34 - 0.11	0.18 - 0.31	22%	0%	0,0,0,0,0,0,0,0,0,0	15%	'+210	0
Shayne Gostisbehere	CAR	-105	A	g	0.5	0.22	0.31 - 0.0	0.2 - 0.25	22%	0%	0,0,0,0,0,0,0,1,1	0%	'+425	0
David Perron	DET	'+120	A	g	0.5	0.23	0.19 - 0.25	0.32 - 0.14	22%	0%	0,0,0,0,0,0,1,0,0,0	32%	'+220	0
Anthony Cirelli	TB	-255	A	g	0.5	0.23	0.21 - 0.26	0.36 - 0.12	21%	40%	0,0,0,1,1,0,0,0,0,0	19%	'+300	0
Dylan Strome	WSH	-245	H	g	0.5	0.24	0.28 - 0.21	0.24 - 0.24	21%	40%	1,0,0,0,1,1,0,1,0,1	25%	'+265	0
Jonathan Huberdeau	CGY	-215	A	g	0.5	0.21	0.23 - 0.17	0.2 - 0.21	21%	40%	0,0,0,1,1,0,0,0,0,0	30%	'+215	0
Mikael Backlund	CGY	-215	A	g	0.5	0.23	0.19 - 0.25	0.27 - 0.18	21%	40%	0,0,1,1,0,1,0,0,0,0	16%	'+205	0
Kent Johnson	CBJ	'+205	A	g	0.5	0.21	0.35 - 0.13	0.22 - 0.21	21%	20%	0,0,0,1,0,0,0,0,1,0	0%	'+350	0
Tomas Tatar	NJ	-175	H	g	0.5	0.23	0.21 - 0.23	0.23 - 0.23	21%	20%	0,0,1,0,0,1,0,0,0,0	18%	'+330	0
Pierre Engvall	TOR	-120	A	g	0.5	0.21	0.24 - 0.13	0.15 - 0.25	21%	20%	0,0,0,0,1,0,0,1,0,1	17%	'+295	0
Trent Frederic	BOS	-295	H	g	0.5	0.24	0.27 - 0.06	0.29 - 0.19	20%	60%	0,1,1,1,0,0,0,0,0,0	11%	'+360	0
Oliver Bjorkstrand	SEA	'+140	A	g	0.5	0.23	0.29 - 0.13	0.26 - 0.2	20%	60%	1,1,0,1,0,0,0,0,2,0	33%	'+300	0
Mike Hoffman	MTL	'+215	H	g	0.5	0.21	0.34 - 0.13	0.19 - 0.24	20%	40%	1,0,1,0,0,0,1,0,0,0	21%	'+240	0
Brandon Duhaime	MIN	'+150	A	g	0.5	0.2	0.16 - 0.19	0.28 - 0.14	20%	40%	1,0,0,0,1,1,0,1,0,0	4%	'+550	0
Jordan Eberle	SEA	'+140	A	g	0.5	0.23	0.33 - 0.09	0.18 - 0.29	20%	40%	1,0,0,1,0,0,0,1,0,0	25%	'+255	0
Luke Evangelista	NSH	'+130	A	g	0.5	0.3	0.0 - 0.5	0.33 - 0.25	20%	20%	0,1,0,0,0,0,2,0,0,0	0%	'+220	0
Ryan Donato	SEA	'+140	A	g	0.5	0.22	0.19 - 0.21	0.1 - 0.34	20%	20%	0,0,0,1,0,0,0,0,0,0	18%	'+370	0
Frank Vatrano	ANA	'+185	H	g	0.5	0.23	0.33 - 0.17	0.35 - 0.09	20%	20%	0,0,0,1,0,0,0,0,0,0	24%	'+225	0
Brock Boeser	VAN	'+115	H	g	0.5	0.21	0.38 - 0.08	0.15 - 0.29	20%	20%	0,1,0,0,0,0,0,0,1,0	30%	'+215	0
Michael Amadio	VGK	-135	A	g	0.5	0.2	0.22 - 0.07	0.15 - 0.23	20%	20%	0,0,0,1,0,0,0,0,0,0	19%	'+245	0
Rasmus Dahlin	BUF	-150	H	g	0.5	0.22	0.35 - 0.09	0.25 - 0.18	20%	0%	0,0,0,0,0,0,0,0,0,0	16%	'+340	0
Jakub Vrana	DET	'+120	A	g	0.5	0.2	0.27 - 0.0	0.33 - 0.0	20%	0%	0,0,0,0,0,0,1,1,0,0	35%	'+175	0
Jonatan Berggren	DET	'+120	A	g	0.5	0.22	0.31 - 0.18	0.21 - 0.23	20%	0%	0,0,0,0,0,0,0,0,1,0	0%	'+310	0
Mike Matheson	MTL	'+215	H	g	0.5	0.19	0.2 - 0.19	0.17 - 0.22	19%	40%	0,1,0,1,0,0,0,1,0,0	14%	'+600	0
Nic Dowd	WSH	-245	H	g	0.5	0.21	0.33 - 0.1	0.21 - 0.21	19%	40%	0,0,0,1,1,0,0,0,0,0	17%	'+450	0
Barrett Hayton	ARI	'+250	A	g	0.5	0.2	0.27 - 0.13	0.03 - 0.38	19%	40%	1,0,0,2,0,1,0,0,0,1	15%	'+265	0
Vince Dunn	SEA	'+140	A	g	0.5	0.19	0.18 - 0.18	0.24 - 0.14	19%	40%	0,1,0,0,1,0,0,0,0,0	8%	'+550	0
Ryan Strome	ANA	'+185	H	g	0.5	0.19	0.3 - 0.12	0.14 - 0.24	19%	40%	1,1,0,0,0,0,0,0,0,0	25%	'+310	0
Nicolas Roy	VGK	-135	A	g	0.5	0.2	0.32 - 0.05	0.2 - 0.21	19%	40%	0,1,0,0,1,0,0,0,0,0	20%	'+320	0
Charlie Coyle	BOS	-295	H	g	0.5	0.19	0.2 - 0.12	0.25 - 0.12	19%	20%	1,0,0,0,0,0,0,1,0,0	20%	'+300	0
David Krejci	BOS	-295	H	g	0.5	0.22	0.28 - 0.06	0.23 - 0.22	19%	20%	1,0,0,0,0,0,0,0,0,0	0%	'+275	0
Jesperi Kotkaniemi	CAR	-105	A	g	0.5	0.21	0.21 - 0.17	0.06 - 0.35	19%	20%	0,0,2,0,0,0,0,1,0,0	12%	'+250	0
Ryan Hartman	MIN	'+150	A	g	0.5	0.25	0.44 - 0.05	0.31 - 0.18	19%	20%	0,0,2,0,0,1,0,0,0,0	37%	'+260	0
James Van Riemsdyk	PHI	'+145	H	g	0.5	0.19	0.19 - 0.16	0.14 - 0.25	19%	20%	0,1,0,0,0,0,0,0,0,0	23%	'+260	0
William Karlsson	VGK	-135	A	g	0.5	0.19	0.24 - 0.1	0.21 - 0.16	19%	20%	0,0,0,1,0,1,0,0,0,0	17%	'+275	0
Alexis Lafreniere	NYR	-115	H	g	0.5	0.2	0.25 - 0.15	0.21 - 0.19	19%	0%	0,0,0,0,0,0,1,2,0,0	21%	'+310	0
Kevin Hayes	PHI	'+145	H	g	0.5	0.25	0.36 - 0.17	0.11 - 0.39	19%	0%	0,0,0,0,0,0,0,0,0,0	19%	'+200	0
Blake Wheeler	WPG	-300	H	g	0.5	0.24	0.43 - 0.0	0.23 - 0.26	19%	0%	0,0,0,0,0,0,0,0,0,0	26%	'+190	0
Brandon Tanev	SEA	'+140	A	g	0.5	0.19	0.27 - 0.09	0.21 - 0.17	19%	0%	0,0,0,0,0,0,1,1,0,1	23%	'+500	0
Chandler Stephenson	VGK	-135	A	g	0.5	0.19	0.25 - 0.07	0.15 - 0.22	19%	0%	0,0,0,0,0,1,0,0,0,0	29%	'+260	0
