NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 10 GAMES	LAST YR % OVER	OVER	UNDER
Kale Clague	BUF	'+155	H	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	6%	'+1200	0
Kent Johnson	CBJ	'+200	H	pts	0.5	0.52	1.11 - 0.29	0.48 - 0.56	43%	2,0,1,0,1,1,2,0,0,1	33%	'+120	-150
Kent Johnson	CBJ	'+200	H	ast	0.5	0.31	0.77 - 0.15	0.27 - 0.35	25%	2,0,1,0,0,1,2,0,0,0	33%	'+215	-270
Kent Johnson	CBJ	'+200	H	g	0.5	0.21	0.34 - 0.13	0.21 - 0.21	21%	0,0,0,0,1,0,0,0,0,1	0%	'+350	0
Kevin Bahl	NJ	-180	A	g	0.5	0.03	0.0 - 0.08	0.0 - 0.06	3%	0,0,0,0,0,0,0,0,0,0	6%	'+1300	0
Kirill Marchenko	CBJ	'+200	H	sog	2.5	2.06	2.23 - 1.82	2.11 - 2.0	32%	1,4,2,4,4,5,1,0,0,1	0%	'+105	-135
Kirill Marchenko	CBJ	'+200	H	pts	0.5	0.45	0.69 - 0.32	0.5 - 0.37	32%	0,2,0,1,0,0,0,1,0,0	0%	'+110	-140
Kirill Marchenko	CBJ	'+200	H	ast	0.5	0.06	0.06 - 0.05	0.11 - 0.0	6%	0,1,0,0,0,0,0,1,0,0	0%	'+275	-355
Kirill Marchenko	CBJ	'+200	H	g	0.5	0.38	0.63 - 0.27	0.39 - 0.37	30%	0,1,0,1,0,0,0,0,0,0	0%	'+210	0
Kurtis Macdermid	COL	-425	H	g	0.5	0.03	0.02 - 0.0	0.0 - 0.05	3%	0,1,0,0,0,0,0,0,0,0	4%	'+1600	0
Kyle Okposo	BUF	'+155	H	g	0.5	0.14	0.2 - 0.09	0.1 - 0.18	11%	0,0,0,0,0,0,1,1,0,0	26%	'+450	0
Kyle Palmieri	NYI	-240	A	sog	2.5	2.07	2.29 - 1.73	2.08 - 2.05	36%	0,1,2,1,0,5,3,4,1,2	51%	'+135	-165
Kyle Palmieri	NYI	-240	A	pts	0.5	0.58	0.76 - 0.32	0.62 - 0.52	42%	0,1,4,0,0,1,0,2,0,0	40%	'+100	-130
Kyle Palmieri	NYI	-240	A	ast	0.5	0.31	0.4 - 0.16	0.33 - 0.29	24%	0,0,3,0,0,1,0,1,0,0	24%	'+210	-265
Kyle Palmieri	NYI	-240	A	g	0.5	0.27	0.36 - 0.16	0.29 - 0.24	24%	0,1,1,0,0,0,0,1,0,0	19%	'+190	0
Lane Pederson	CBJ	'+200	H	g	0.5	0.08	0.0 - 0.1	0.11 - 0.0	8%	0,0,0,0,0,0,1,0,0,0	0%	'+475	0
Lars Eller	COL	-425	H	g	0.5	0.17	0.31 - 0.0	0.4 - 0.0	17%	0,0,1,1,0,0,0,0,0,0	0%	'+340	0
Laurent Dauphin	ARI	'+340	A	g	0.5	0.0	0.0 - 0.0	0.0 - 0.0	0%	0,0,0,0,0,0,0,0,0,0	11%	'+700	0
Lawrence Pilut	BUF	'+155	H	g	0.5	0.06	0.11 - 0.0	0.11 - 0.0	6%	1,0,0,0,0,0,0,0,0,0	0%	'+950	0
Lawson Crouse	ARI	'+340	A	sog	1.5	1.96	2.19 - 1.61	1.83 - 2.1	57%	1,4,1,2,0,2,1,6,4,4	67%	-135	'+105
Lawson Crouse	ARI	'+340	A	pts	0.5	0.58	0.86 - 0.36	0.47 - 0.71	45%	1,0,0,1,1,0,1,1,1,1	40%	'+130	-160
Lawson Crouse	ARI	'+340	A	ast	0.5	0.25	0.37 - 0.16	0.14 - 0.39	19%	1,0,0,0,1,0,1,1,0,1	20%	'+280	-360
Lawson Crouse	ARI	'+340	A	g	0.5	0.33	0.5 - 0.2	0.33 - 0.32	28%	0,0,0,1,0,0,0,0,1,0	27%	'+320	0
Liam Foudy	CBJ	'+200	H	g	0.5	0.1	0.1 - 0.08	0.18 - 0.0	10%	0,1,0,0,1,0,1,0,0,0	0%	'+475	0
Marcus Bjork	CBJ	'+200	H	g	0.5	0.11	0.0 - 0.17	0.17 - 0.07	11%	0,0,0,0,0,0,0,1,0,0	0%	'+650	0
Mathieu Olivier	CBJ	'+200	H	g	0.5	0.08	0.07 - 0.06	0.06 - 0.09	8%	0,0,0,0,0,0,0,0,0,0	0%	'+600	0
Matias Maccelli	ARI	'+340	A	pts	0.5	0.74	0.84 - 0.63	0.69 - 0.8	57%	1,0,1,1,2,0,1,1,2,1	22%	'+110	-140
Matias Maccelli	ARI	'+340	A	ast	0.5	0.61	0.71 - 0.51	0.62 - 0.6	50%	1,0,0,1,1,0,1,1,2,0	17%	'+170	-210
Matias Maccelli	ARI	'+340	A	g	0.5	0.13	0.12 - 0.11	0.07 - 0.2	13%	0,0,1,0,1,0,0,0,0,1	4%	'+550	0
Matt Martin	NYI	-240	A	g	0.5	0.1	0.05 - 0.13	0.14 - 0.06	10%	0,0,0,0,0,0,0,0,0,0	4%	'+550	0
Matt Nieto	COL	-425	H	g	0.5	0.17	0.23 - 0.0	0.27 - 0.08	17%	0,0,0,0,0,1,0,0,0,0	0%	'+310	0
Mattias Samuelsson	BUF	'+155	H	g	0.5	0.02	0.03 - 0.0	0.04 - 0.0	2%	0,0,0,0,0,0,0,0,0,0	0%	'+950	0
Michael Mcleod	NJ	-180	A	g	0.5	0.06	0.09 - 0.0	0.12 - 0.0	6%	0,0,0,0,0,0,0,0,0,0	4%	'+450	0
Mikko Rantanen	COL	-425	H	sog	3.5	3.69	3.88 - 3.16	3.88 - 3.5	40%	6,5,2,4,5,5,1,1,1,2	44%	-145	'+115
Mikko Rantanen	COL	-425	H	pts	1.5	1.21	1.53 - 0.84	1.03 - 1.39	39%	0,2,1,3,1,2,2,1,1,0	40%	'+110	-140
Mikko Rantanen	COL	-425	H	ast	0.5	0.54	0.72 - 0.33	0.47 - 0.61	41%	0,1,0,2,0,1,2,1,0,0	56%	-135	'+105
Mikko Rantanen	COL	-425	H	g	0.5	0.67	0.81 - 0.52	0.56 - 0.78	51%	0,1,1,1,1,1,0,0,1,0	35%	-155	0
Miles Wood	NJ	-180	A	g	0.5	0.17	0.16 - 0.12	0.18 - 0.15	15%	0,0,0,0,0,0,1,1,0,0	0%	'+340	0
Nathan Bastian	NJ	-180	A	g	0.5	0.15	0.15 - 0.12	0.19 - 0.11	15%	0,1,0,0,0,0,1,1,0,0	15%	'+380	0
Nathan Mackinnon	COL	-425	H	sog	5.5	5.19	5.45 - 4.63	5.35 - 5.0	47%	5,6,3,6,2,5,6,8,4,1	43%	-115	-115
Nathan Mackinnon	COL	-425	H	pts	1.5	1.53	2.02 - 0.99	1.52 - 1.54	49%	1,1,3,3,1,2,2,1,2,1	31%	-160	'+130
Nathan Mackinnon	COL	-425	H	ast	1.5	1.02	1.41 - 0.64	1.06 - 0.96	27%	1,1,2,3,1,1,1,0,1,0	16%	'+160	-195
Nathan Mackinnon	COL	-425	H	g	0.5	0.51	0.61 - 0.35	0.45 - 0.57	44%	0,0,1,0,0,1,1,1,1,1	41%	-155	0
Nick Blankenburg	CBJ	'+200	H	g	0.5	0.12	0.15 - 0.1	0.06 - 0.19	12%	0,0,1,0,0,0,0,0,0,0	14%	'+600	0
Nick Schmaltz	ARI	'+340	A	sog	1.5	1.96	2.37 - 1.62	1.69 - 2.22	58%	1,0,2,1,4,2,1,1,0,3	56%	-160	'+130
Nick Schmaltz	ARI	'+340	A	pts	0.5	0.94	1.38 - 0.72	0.73 - 1.15	62%	2,1,1,0,1,2,1,0,1,2	55%	-130	'+100
Nick Schmaltz	ARI	'+340	A	ast	0.5	0.55	0.68 - 0.49	0.5 - 0.59	42%	2,1,1,0,0,1,0,0,1,1	42%	'+145	-180
